Symbol,Date,Open,High,Low,Close,Volume
102710,2009-05-28,11000,12650,9350,9350,6923643
102710,2009-05-29,9410,9620,7960,8210,2375638
102710,2009-06-01,8490,8880,8080,8250,1706255
102710,2009-06-02,8380,8800,8020,8020,1689194
102710,2009-06-03,8150,8290,7970,7970,689229
102710,2009-06-04,8080,8160,7270,7310,706813
102710,2009-06-05,7450,7800,7410,7550,530452
102710,2009-06-08,7650,7780,7070,7070,457709
102710,2009-06-09,7160,7220,6500,6580,521495
102710,2009-06-10,6640,6950,6530,6860,333689
102710,2009-06-11,6900,7080,6770,6800,190837
102710,2009-06-12,6800,6870,6560,6680,211965
102710,2009-06-15,6780,7250,6620,7120,333872
102710,2009-06-16,7100,7390,6960,7310,283952
102710,2009-06-17,7290,7350,7030,7100,142828
102710,2009-06-18,7120,7380,7050,7110,136685
102710,2009-06-19,7200,7240,6750,6980,103818
102710,2009-06-22,6910,7060,6720,7000,109766
102710,2009-06-23,6810,6950,6700,6800,73634
102710,2009-06-24,6740,6860,6270,6370,132967
102710,2009-06-25,6310,6800,6130,6680,189148
102710,2009-06-26,6800,6800,6590,6620,71399
102710,2009-06-29,6730,6730,6050,6080,274497
102710,2009-06-30,6180,6850,6130,6500,649841
102710,2009-07-01,6460,7150,6460,6870,405603
102710,2009-07-02,6900,7360,6900,7300,345338
102710,2009-07-03,7250,7680,7100,7550,327197
102710,2009-07-06,7680,7850,7500,7550,365140
102710,2009-07-07,7640,8100,7560,8040,451966
102710,2009-07-08,8000,8290,7670,8190,387890
102710,2009-07-09,8260,8290,7710,7710,341797
102710,2009-07-10,7860,7970,7700,7900,221051
102710,2009-07-13,7990,8100,7380,7870,238356
102710,2009-07-14,8020,8450,7860,8390,480398
102710,2009-07-15,8500,8640,8260,8500,347838
102710,2009-07-16,8510,8560,8140,8140,217608
102710,2009-07-17,8160,8240,7760,7920,206206
102710,2009-07-20,7910,8200,7910,7970,204314
102710,2009-07-21,8180,8180,7970,8030,100534
102710,2009-07-22,8070,8140,7760,8000,101937
102710,2009-07-23,8000,8460,7920,8340,258977
102710,2009-07-24,8450,8550,8350,8450,256000
102710,2009-07-27,8520,8680,8400,8640,336275
102710,2009-07-28,8600,8810,8470,8620,522806
102710,2009-07-29,8630,8630,8250,8470,283513
102710,2009-07-30,8330,8500,8300,8420,252564
102710,2009-07-31,8550,8550,8100,8160,402993
102710,2009-08-03,8210,8270,7900,7900,230530
102710,2009-08-04,8040,8120,7640,7690,345414
102710,2009-08-05,7650,7980,7630,7660,174434
102710,2009-08-06,7690,7820,7690,7790,80945
102710,2009-08-07,7780,7840,7620,7790,98258
102710,2009-08-10,7800,8050,7800,8000,135072
