Symbol,Date,Open,High,Low,Close,Volume
336260,2019-10-18,4160,5406,4160,5406,370645
336260,2019-10-21,6838,7025,6544,7025,21919889
336260,2019-10-22,7555,9125,7152,8762,39020768
336260,2019-10-23,9596,10106,7368,7781,28203889
336260,2019-10-24,7555,8997,7182,7653,34906548
336260,2019-10-25,7751,8467,6986,7094,13216860
336260,2019-10-28,7221,7339,6574,6672,3999829
336260,2019-10-29,6662,7172,6534,6594,4924940
336260,2019-10-30,6760,8291,6701,7889,30865340
336260,2019-10-31,7771,8271,7319,7575,13582989
336260,2019-11-01,8016,8340,7673,7712,10639517
336260,2019-11-04,7574,7790,7496,7634,2320413
336260,2019-11-05,7516,7633,7221,7339,2385962
336260,2019-11-06,7309,7712,7113,7241,2885140
336260,2019-11-07,7241,7398,7143,7143,1325422
336260,2019-11-08,7152,7290,7084,7104,988867
336260,2019-11-11,7084,7211,6946,7163,1083346
336260,2019-11-12,7143,7447,7054,7447,1688553
336260,2019-11-13,7623,7928,7466,7781,3471460
336260,2019-11-14,7977,7977,7673,7742,3013793
336260,2019-11-15,7977,9615,7908,8674,35194759
336260,2019-11-18,8997,9517,8732,8929,10168101
336260,2019-11-19,8830,9262,8556,9233,10421946
336260,2019-11-20,9409,9910,8830,8831,8425856
336260,2019-11-21,8722,9007,8428,8458,2539869
336260,2019-11-22,8399,8546,8045,8291,2155017
336260,2019-11-25,8183,8575,8183,8468,1953991
336260,2019-11-26,8457,8722,8251,8723,1533757
336260,2019-11-27,8722,8781,8438,8438,1252307
336260,2019-11-28,8408,8408,8114,8124,1292199
336260,2019-11-29,8183,8183,7653,7722,1405419
336260,2019-12-02,7633,8320,7633,7840,1911350
336260,2019-12-03,7555,8575,7545,8154,7217850
336260,2019-12-04,8016,8085,7741,7742,1289983
336260,2019-12-05,7731,7967,7525,7791,1106757
336260,2019-12-06,7731,8291,7702,7712,3404472
336260,2019-12-09,7712,7957,7663,7663,787698
336260,2019-12-10,7663,8222,7663,7810,2727967
336260,2019-12-11,7859,8143,7820,8134,1228865
336260,2019-12-12,8183,8183,8006,8036,874411
336260,2019-12-13,8193,8369,8114,8144,1400154
336260,2019-12-16,8261,8683,8193,8409,2952182
336260,2019-12-17,8536,8595,7996,7997,1804612
336260,2019-12-18,8094,8232,7996,8115,972717
336260,2019-12-19,8094,8242,8094,8134,621829
336260,2019-12-20,8183,8271,8104,8164,541234
336260,2019-12-23,8193,8232,7996,8124,473433
336260,2019-12-24,8153,8183,8036,8075,443649
336260,2019-12-26,8045,8242,8045,8095,882711
336260,2019-12-27,8163,8595,8163,8409,2194215
336260,2019-12-30,8556,8840,8457,8595,3188245
336260,2020-01-02,8664,8703,8448,8635,870477
336260,2020-01-03,8722,8752,8487,8527,957011
336260,2020-01-06,8399,8477,8124,8173,1109156
336260,2020-01-07,8242,8310,8016,8056,843017
336260,2020-01-08,7967,8026,7417,7595,1878484
