Symbol,Date,Open,High,Low,Close,Volume
263750,2017-09-14,18540,20160,17280,19780,1657818
263750,2017-09-15,19640,21700,19240,21600,597607
263750,2017-09-18,22100,22520,21160,21600,352954
263750,2017-09-19,22300,23580,21480,22860,253257
263750,2017-09-20,22860,24080,22860,23600,413541
263750,2017-09-21,24079,24100,22320,23240,258192
263750,2017-09-22,23599,23840,22980,23800,186203
263750,2017-09-25,23800,25359,23000,23720,175688
263750,2017-09-26,23800,23980,22880,23560,103645
263750,2017-09-27,23440,23760,22880,23300,103693
263750,2017-09-28,23100,23199,21700,22660,166640
263750,2017-09-29,22459,23080,22020,22740,95661
263750,2017-10-10,22880,23120,21460,21700,133180
263750,2017-10-11,21700,21980,20820,21640,121600
263750,2017-10-12,21940,22159,21400,21480,71631
263750,2017-10-13,21500,23640,21060,21500,239356
263750,2017-10-16,21500,23060,21500,22600,204563
263750,2017-10-17,23380,26700,23319,25840,627898
263750,2017-10-18,26640,27960,25960,27240,642542
263750,2017-10-19,27440,27700,26000,26600,256209
263750,2017-10-20,26280,27000,25980,26480,147618
263750,2017-10-23,26700,26860,26080,26500,115374
263750,2017-10-24,26740,29400,26640,28380,551324
263750,2017-10-25,28420,29800,27960,29520,195363
263750,2017-10-26,30160,30320,27980,28340,269341
263750,2017-10-27,28460,29180,27560,27660,194963
263750,2017-10-30,28000,28420,27420,28080,122513
263750,2017-10-31,27980,29740,27960,29500,180227
263750,2017-11-01,29660,29940,28960,29560,109261
263750,2017-11-02,29600,30379,29400,30160,144096
263750,2017-11-03,29360,29880,28979,29740,142408
263750,2017-11-06,29860,30619,29020,29240,170824
263750,2017-11-07,29300,29340,27820,28080,201375
263750,2017-11-08,28320,28620,27440,27980,189659
263750,2017-11-09,27980,27980,26840,27760,213006
263750,2017-11-10,27900,29999,27200,29940,465742
263750,2017-11-13,30580,32199,29579,31500,375549
263750,2017-11-14,31400,32140,30580,31600,196757
263750,2017-11-15,31300,33560,31300,33000,266419
263750,2017-11-16,33040,33540,32000,33040,119308
263750,2017-11-17,34000,34000,32520,33000,102264
263750,2017-11-20,32860,33300,31960,32880,142724
