Symbol,Date,Open,High,Low,Close,Volume
303030,2018-08-30,2475,2524,2475,2506,819986
303030,2018-08-31,2506,2584,2506,2536,166709
303030,2018-09-03,2524,2584,2512,2579,106111
303030,2018-09-04,2572,2578,2542,2566,23703
303030,2018-09-05,2572,2584,2554,2585,19203
303030,2018-09-06,2584,2584,2554,2560,23303
303030,2018-09-07,2560,2578,2560,2579,4958
303030,2018-09-10,2608,2608,2536,2579,39161
303030,2018-09-11,2578,2578,2572,2579,17
303030,2018-09-12,2554,2566,2530,2566,3194
303030,2018-09-13,2536,2584,2530,2536,13082
303030,2018-09-14,2572,2572,2524,2560,2467
303030,2018-09-17,2572,2572,2512,2542,3974
303030,2018-09-18,2560,2560,2493,2500,23194
303030,2018-09-19,2542,2542,2512,2536,1612
303030,2018-09-20,2554,2554,2548,2548,112
303030,2018-09-21,2554,2554,2530,2548,410
303030,2018-09-27,2548,2548,2524,2524,1853
303030,2018-09-28,2536,2536,2500,2512,4950
303030,2018-10-01,2512,2530,2512,2524,5180
303030,2018-10-02,2536,2536,2506,2518,2415
303030,2018-10-04,2524,2524,2512,2512,2705
303030,2018-10-05,2500,2530,2500,2512,3516
303030,2018-10-08,2506,2524,2506,2518,13489
303030,2018-10-10,2500,2512,2500,2500,20368
303030,2018-10-11,2499,2530,2499,2530,4810
303030,2018-10-12,2530,2530,2500,2524,1574
303030,2018-10-15,2554,2554,2500,2524,33
303030,2018-10-16,2536,2536,2500,2512,829
303030,2018-10-17,2536,2536,2518,2524,1104
303030,2018-10-18,2518,2524,2518,2524,4
303030,2018-10-19,2524,2524,2518,2518,901
303030,2018-10-22,2524,2524,2500,2524,3353
303030,2018-10-23,2560,2560,2500,2500,1510
303030,2018-10-24,2500,2518,2500,2518,1844
303030,2018-10-25,2524,2524,2500,2500,11790
303030,2018-10-26,2500,2506,2500,2506,8059
303030,2018-10-29,2506,2506,2500,2506,964
303030,2018-10-30,2512,2512,2500,2500,308
303030,2018-10-31,2518,2524,2512,2524,25591
303030,2018-11-01,2524,2524,2524,2524,1000
303030,2018-11-02,2530,2530,2512,2524,29060
303030,2018-11-05,2530,2530,2512,2524,1253
303030,2018-11-06,2524,2524,2487,2488,940
303030,2018-11-07,2493,2512,2487,2512,10260
303030,2018-11-08,2512,2518,2463,2500,25976
303030,2018-11-09,2487,2487,2469,2470,12456
303030,2018-11-12,2469,2500,2469,2500,6
303030,2018-11-13,2500,2500,2487,2494,6350
303030,2018-11-14,2500,2500,2493,2494,1407
303030,2018-11-15,2493,2493,2463,2488,7504
303030,2018-11-16,2500,2500,2500,2500,1440
303030,2018-11-19,0,0,0,2500,0
303030,2018-11-20,0,0,0,2500,0
303030,2018-11-21,0,0,0,2500,0
303030,2018-11-22,0,0,0,2500,0
303030,2018-11-23,0,0,0,2500,0
303030,2018-11-26,0,0,0,2500,0
303030,2018-11-27,0,0,0,2500,0
303030,2018-11-28,0,0,0,2500,0
303030,2018-11-29,0,0,0,2500,0
303030,2018-11-30,0,0,0,2500,0
303030,2018-12-03,0,0,0,2500,0
303030,2018-12-04,0,0,0,2500,0
303030,2018-12-05,0,0,0,2500,0
303030,2018-12-06,0,0,0,2500,0
303030,2018-12-07,0,0,0,2500,0
303030,2018-12-10,0,0,0,2500,0
303030,2018-12-11,0,0,0,2500,0
303030,2018-12-12,0,0,0,2500,0
303030,2018-12-13,0,0,0,2500,0
303030,2018-12-14,0,0,0,2500,0
303030,2018-12-17,0,0,0,2500,0
303030,2018-12-18,0,0,0,2500,0
303030,2018-12-19,0,0,0,2500,0
303030,2018-12-20,0,0,0,2500,0
303030,2018-12-21,0,0,0,2500,0
303030,2018-12-24,0,0,0,2500,0
303030,2018-12-26,0,0,0,2500,0
303030,2018-12-27,0,0,0,2500,0
303030,2018-12-28,0,0,0,2500,0
303030,2019-01-02,0,0,0,2500,0
303030,2019-01-03,0,0,0,2500,0
303030,2019-01-04,0,0,0,2500,0
303030,2019-01-07,0,0,0,2500,0
303030,2019-01-08,0,0,0,2500,0
303030,2019-01-09,0,0,0,2500,0
303030,2019-01-10,0,0,0,2500,0
303030,2019-01-11,0,0,0,2500,0
303030,2019-01-14,0,0,0,2500,0
303030,2019-01-15,0,0,0,2500,0
303030,2019-01-16,0,0,0,2500,0
303030,2019-01-17,0,0,0,2500,0
303030,2019-01-18,0,0,0,2500,0
303030,2019-01-21,0,0,0,2500,0
303030,2019-01-22,0,0,0,2500,0
303030,2019-01-23,0,0,0,2500,0
303030,2019-01-24,0,0,0,2500,0
303030,2019-01-25,0,0,0,2500,0
303030,2019-01-28,0,0,0,2500,0
303030,2019-01-29,0,0,0,2500,0
303030,2019-01-30,0,0,0,2500,0
303030,2019-01-31,0,0,0,2500,0
303030,2019-02-01,0,0,0,2500,0
303030,2019-02-07,0,0,0,2500,0
303030,2019-02-08,0,0,0,2500,0
303030,2019-02-11,0,0,0,2500,0
303030,2019-02-12,0,0,0,2500,0
303030,2019-02-13,0,0,0,2500,0
303030,2019-02-14,0,0,0,2500,0
303030,2019-02-15,0,0,0,2500,0
303030,2019-02-18,0,0,0,2500,0
303030,2019-02-19,0,0,0,2500,0
303030,2019-02-20,0,0,0,2500,0
303030,2019-02-21,0,0,0,2500,0
303030,2019-02-22,0,0,0,2500,0
303030,2019-02-25,0,0,0,2500,0
