Symbol,Date,Open,High,Low,Close,Volume
383800,2021-05-27,12650,14300,12000,12000,11609074
383800,2021-05-28,12300,13000,12150,12250,4033208
383800,2021-05-31,12100,12150,10950,10950,4843811
383800,2021-06-01,11000,11300,10900,11000,1879288
383800,2021-06-02,10700,10850,10600,10700,2426922
383800,2021-06-03,10650,10700,10300,10400,2709800
383800,2021-06-04,10450,10650,10350,10450,1737593
383800,2021-06-07,10550,11150,10500,10800,2714980
383800,2021-06-08,10800,11100,10650,10950,1362497
383800,2021-06-09,11000,11350,10950,11150,1664087
383800,2021-06-10,11150,11150,10800,10800,1671893
383800,2021-06-11,10800,10900,10650,10700,1040819
383800,2021-06-14,10800,11000,10800,10900,849624
383800,2021-06-15,11000,11650,10950,11600,2152388
383800,2021-06-16,11600,11800,11450,11550,1455907
383800,2021-06-17,11550,11550,11200,11200,1476215
383800,2021-06-18,11200,11400,11100,11250,862716
383800,2021-06-21,11200,11350,11100,11200,637311
383800,2021-06-22,11250,11350,11200,11300,603776
383800,2021-06-23,11350,11550,11200,11250,996411
383800,2021-06-24,11250,11250,11100,11250,879902
383800,2021-06-25,11300,11300,11150,11200,953657
383800,2021-06-28,11200,11450,11150,11300,1020862
383800,2021-06-29,11300,11400,11200,11200,682771
383800,2021-06-30,11250,11300,11200,11250,808334
383800,2021-07-01,11250,11250,11100,11200,641594
383800,2021-07-02,11200,11200,11000,11050,978065
383800,2021-07-05,11050,11150,11000,11050,596052
383800,2021-07-06,11050,11150,11050,11100,520432
383800,2021-07-07,11050,11100,10950,11000,866260
383800,2021-07-08,11000,11050,10800,10850,700361
383800,2021-07-09,10750,10800,10600,10650,892855
383800,2021-07-12,10700,11000,10700,10850,459872
383800,2021-07-13,10950,10950,10750,10950,596120
383800,2021-07-14,10950,10950,10800,10800,375921
383800,2021-07-15,10950,10950,10800,10900,315084
383800,2021-07-16,10850,10900,10800,10900,304341
383800,2021-07-19,10800,10850,10750,10750,306961
383800,2021-07-20,10600,10800,10600,10700,555567
383800,2021-07-21,10750,10800,10650,10750,289309
383800,2021-07-22,10750,10800,10650,10750,413771
383800,2021-07-23,10750,10850,10700,10750,353043
383800,2021-07-26,10750,10800,10600,10650,360350
383800,2021-07-27,10600,10750,10600,10700,283252
383800,2021-07-28,10650,10700,10500,10500,699652
383800,2021-07-29,10550,10600,10450,10550,338793
383800,2021-07-30,10550,10550,10400,10450,514075
383800,2021-08-02,10450,10500,10400,10500,249848
383800,2021-08-03,10450,10500,10300,10400,444969
383800,2021-08-04,10400,10650,10350,10550,347279
383800,2021-08-05,10550,10800,10500,10650,336483
383800,2021-08-06,10650,10700,10550,10700,209008
383800,2021-08-09,10700,10700,10550,10600,267766
383800,2021-08-10,10600,10600,10450,10550,272542
383800,2021-08-11,10500,10550,10400,10450,295417
383800,2021-08-12,10450,10550,10400,10450,341715
383800,2021-08-13,10450,10450,10250,10350,647872
383800,2021-08-17,10300,10350,10100,10200,508361
383800,2021-08-18,10150,10200,9980,10100,666621
383800,2021-08-19,9990,10050,9710,9710,1147477
383800,2021-08-20,9730,9800,9460,9500,718295
383800,2021-08-23,9510,9800,9420,9670,421615
383800,2021-08-24,9650,9940,9650,9810,401761
383800,2021-08-25,9810,9870,9760,9830,197597
383800,2021-08-26,9830,9900,9600,9740,252291
383800,2021-08-27,9650,9850,9640,9770,198098
383800,2021-08-30,9840,10100,9810,10000,307335
383800,2021-08-31,9980,10100,9850,9870,403375
383800,2021-09-01,9840,9960,9830,9930,182457
383800,2021-09-02,9930,9980,9870,9910,174356
383800,2021-09-03,9910,10050,9880,9980,258346
383800,2021-09-06,9990,10050,9910,9930,207270
383800,2021-09-07,10100,10350,9970,10250,502966
383800,2021-09-08,10300,10350,10100,10150,296939
383800,2021-09-09,10100,10200,10000,10000,243291
383800,2021-09-10,10000,10100,9990,10050,142437
383800,2021-09-13,10000,10150,9970,10050,236548
383800,2021-09-14,10050,10250,10000,10150,351271
383800,2021-09-15,10150,10150,9990,10000,313358
383800,2021-09-16,10000,10100,9960,9980,244940
383800,2021-09-17,9970,9980,9860,9930,321784
383800,2021-09-23,9860,10050,9850,9870,218250
383800,2021-09-24,9930,9980,9840,9850,232306
383800,2021-09-27,9840,9900,9790,9820,227977
383800,2021-09-28,9820,9850,9650,9670,373726
383800,2021-09-29,9520,9640,9480,9510,461988
383800,2021-09-30,9500,9600,9490,9510,221565
383800,2021-10-01,9460,9520,9340,9350,409139
383800,2021-10-05,9310,9320,8990,9080,682014
