Symbol,Date,Open,High,Low,Close,Volume
298380,2018-12-19,13500,14950,12500,13650,8482792
298380,2018-12-20,14100,17700,13700,17700,10386820
298380,2018-12-21,18750,19200,17250,17850,8160879
298380,2018-12-24,17350,17350,15700,16150,2888493
298380,2018-12-26,15300,17600,15150,17100,5851813
298380,2018-12-27,17450,20600,17450,19850,7200614
298380,2018-12-28,20200,21650,19400,20000,4035972
298380,2019-01-02,21150,24550,20850,22450,6009672
298380,2019-01-03,22150,22450,20500,21050,2695433
298380,2019-01-04,20950,22250,20200,21500,3355124
298380,2019-01-07,21200,21700,19950,20350,2079540
298380,2019-01-08,20500,20850,18400,19100,2674228
298380,2019-01-09,19050,19400,17950,18750,1746527
298380,2019-01-10,18950,20000,18550,18550,2713038
298380,2019-01-11,18700,19050,17600,18000,1989096
298380,2019-01-14,17600,18200,17200,17400,1255490
298380,2019-01-15,17950,18450,17500,17500,1288584
298380,2019-01-16,17700,19250,16750,18700,2395414
298380,2019-01-17,18900,19000,17600,17600,1032410
298380,2019-01-18,17500,18050,16750,16850,1202277
298380,2019-01-21,16850,16900,15700,15950,1426431
298380,2019-01-22,16200,19600,16050,17800,6845982
298380,2019-01-23,17450,19250,17100,18000,3187197
298380,2019-01-24,18200,18450,17450,17750,1118550
298380,2019-01-25,18150,19000,17850,18000,1694606
298380,2019-01-28,17800,18750,17750,18500,1553389
298380,2019-01-29,18600,18850,17700,17750,1169867
298380,2019-01-30,17900,18200,16900,16900,1052167
298380,2019-01-31,17050,17700,16850,16900,787681
298380,2019-02-01,17000,17200,16500,16850,530288
298380,2019-02-07,16850,18150,16600,17900,1104648
298380,2019-02-08,17700,18600,17500,18150,1038633
298380,2019-02-11,18600,19600,18450,19250,2354266
298380,2019-02-12,18850,19400,18500,18700,1169920
298380,2019-02-13,18700,18950,18050,18250,755393
298380,2019-02-14,18550,18750,18150,18200,569186
298380,2019-02-15,18150,18550,17700,17900,514857
298380,2019-02-18,18100,18600,18050,18450,467670
298380,2019-02-19,18500,18500,17950,18250,504036
298380,2019-02-20,18200,18200,17550,17700,629183
298380,2019-02-21,17700,17850,17050,17250,620786
298380,2019-02-22,17250,17800,17050,17600,415801
298380,2019-02-25,18050,18450,17700,18000,786695
298380,2019-02-26,18150,18250,17500,17650,393313
298380,2019-02-27,17950,19000,17850,18750,2098968
298380,2019-02-28,18900,20800,18700,19450,3650675
298380,2019-03-04,20300,21500,19900,20200,2935767
298380,2019-03-05,20200,21000,20000,20750,1628461
298380,2019-03-06,20600,21950,20300,21950,1748886
298380,2019-03-07,21900,22900,19900,20900,2307789
298380,2019-03-08,20550,21500,20400,21100,870866
298380,2019-03-11,21050,21350,20150,21150,867797
298380,2019-03-12,21450,27450,21250,27450,8985971
298380,2019-03-13,26650,28000,26050,27500,9104602
298380,2019-03-14,27150,28950,26300,28800,5937477
298380,2019-03-15,28600,33950,27250,29050,12379728
298380,2019-03-18,29700,32350,29300,30850,6205486
298380,2019-03-19,31250,31850,28450,28850,4028206
298380,2019-03-20,28400,32150,27950,31700,5545441
298380,2019-03-21,32250,33350,31050,31950,5512916
298380,2019-03-22,31200,32150,29950,31500,2949147
298380,2019-03-25,31100,32750,31000,31600,2815757
298380,2019-03-26,32500,34400,31500,31500,4419049
298380,2019-03-27,31550,32000,29850,29850,2271908
298380,2019-03-28,29650,30150,27700,28000,2526261
298380,2019-03-29,28400,31000,27500,30150,3919154
298380,2019-04-01,29850,32800,29800,32800,3451355
298380,2019-04-02,33550,35000,32600,32900,3543560
298380,2019-04-03,32800,35900,32600,35450,4081379
298380,2019-04-04,35600,36350,34650,35850,2723904
298380,2019-04-05,35750,36000,34150,34600,1858932
298380,2019-04-08,34900,35450,32850,33350,1784297
298380,2019-04-09,34050,37800,32250,37650,5041829
298380,2019-04-10,37550,37800,35050,35150,7150133
298380,2019-04-11,35400,36650,33650,34600,3296355
298380,2019-04-12,34400,35400,33950,34450,1398476
298380,2019-04-15,34850,34900,32800,32800,1793135
298380,2019-04-16,32850,34250,31150,33700,2789086
298380,2019-04-17,33550,33900,31500,31550,1281007
298380,2019-04-18,31650,32350,30200,30300,2676604
298380,2019-04-19,30400,31400,29800,30200,1476250
298380,2019-04-22,30300,30600,29000,29150,1538928
298380,2019-04-23,29300,31200,29250,30300,1871763
298380,2019-04-24,30700,31850,30200,30800,1407643
298380,2019-04-25,30850,31750,30350,30650,853779
298380,2019-04-26,30400,30950,29500,29550,802413
298380,2019-04-29,29700,31500,29700,31200,1182826
298380,2019-04-30,31150,35100,30700,33800,6463968
298380,2019-05-02,33900,34900,33200,33950,1847554
298380,2019-05-03,34350,34400,33400,33600,896176
298380,2019-05-07,32750,33250,32300,32550,914570
298380,2019-05-08,32000,33200,31950,32250,808087
298380,2019-05-09,32550,32950,29900,30150,1658411
298380,2019-05-10,30200,31650,29650,31000,1397847
298380,2019-05-13,31000,31900,30650,30650,903160
298380,2019-05-14,30200,33250,29750,31700,2409800
298380,2019-05-15,32150,32800,31500,32750,1075362
298380,2019-05-16,33100,33500,32000,32000,1083451
298380,2019-05-17,32500,33100,31500,31700,828568
298380,2019-05-20,31800,32000,29950,30350,1080705
298380,2019-05-21,30050,31100,30000,30900,645382
298380,2019-05-22,31900,33750,31850,33250,3054330
298380,2019-05-23,33650,34700,33150,33550,2069280
298380,2019-05-24,33800,34250,32600,34250,1243712
298380,2019-05-27,34750,36000,34600,36000,2612603
298380,2019-05-28,35700,37000,34900,37000,2620067
298380,2019-05-29,36400,37250,35850,36300,1505522
298380,2019-05-30,37200,37700,31650,32800,4725382
298380,2019-05-31,32550,33700,31900,32450,1478964
298380,2019-06-03,32150,33300,31850,32900,771334
298380,2019-06-04,33100,34000,33050,33700,943651
298380,2019-06-05,34250,34850,34000,34050,989911
298380,2019-06-07,34000,34750,33050,34000,909127
298380,2019-06-10,34450,34850,33900,34250,571248
298380,2019-06-11,34500,35850,34400,35500,1284540
298380,2019-06-12,35800,36050,35300,35700,863974
