Symbol,Date,Open,High,Low,Close,Volume
243840,2017-09-27,29400,30100,20600,20850,2601044
243840,2017-09-28,20800,22550,19850,21050,699144
243840,2017-09-29,20550,21000,19600,19900,310309
243840,2017-10-10,20400,24500,19150,22200,828175
243840,2017-10-11,22050,23800,21800,23000,294347
243840,2017-10-12,23100,23200,21750,22100,188281
243840,2017-10-13,22050,22650,20850,22000,176580
243840,2017-10-16,21650,21700,20500,20600,113017
243840,2017-10-17,20500,21200,20300,20300,67052
243840,2017-10-18,20450,20450,19300,19300,111575
243840,2017-10-19,19750,22500,19200,21000,203370
243840,2017-10-20,21300,21300,20000,20450,51823
243840,2017-10-23,20850,20950,20200,20650,36957
243840,2017-10-24,21150,21750,20500,20500,76229
243840,2017-10-25,20200,20750,20000,20500,43395
243840,2017-10-26,20750,22250,20400,20950,138062
243840,2017-10-27,19550,20300,19400,19850,268503
243840,2017-10-30,20000,20200,19400,19900,83077
243840,2017-10-31,19650,19850,19550,19600,49647
243840,2017-11-01,20000,21150,19750,20550,220414
243840,2017-11-02,20900,21700,20550,20600,218693
243840,2017-11-03,20500,20500,19900,20100,123725
243840,2017-11-06,20150,20600,20050,20350,68254
243840,2017-11-07,20400,21100,20100,20550,117077
243840,2017-11-08,20750,21750,20550,21200,197135
243840,2017-11-09,21500,23600,21200,22500,532626
243840,2017-11-10,22500,23000,21650,22250,117956
243840,2017-11-13,22650,22650,21850,21900,93550
243840,2017-11-14,22100,22350,21100,21600,89878
243840,2017-11-15,21750,21750,20800,20800,98336
243840,2017-11-16,21000,22000,20500,21900,123962
243840,2017-11-17,21950,23000,21750,22800,215526
243840,2017-11-20,23000,23050,22200,22550,93027
243840,2017-11-21,22850,23450,22550,22700,171587
243840,2017-11-22,22800,24900,22800,24200,309054
243840,2017-11-23,24450,24650,23450,24000,134382
243840,2017-11-24,24250,25650,23950,24750,236122
243840,2017-11-27,25500,25600,24750,25150,151522
243840,2017-11-28,25400,25500,23650,24500,170451
243840,2017-11-29,24300,25200,24150,24600,79881
243840,2017-11-30,24300,25100,23900,24800,80975
243840,2017-12-01,25400,26700,24800,26100,125882
