Symbol,Date,Open,High,Low,Close,Volume
050960,2016-10-11,11500,14950,11400,14950,9352181
050960,2016-10-12,15050,15200,11800,11900,4366850
050960,2016-10-13,12000,12300,10500,10700,1942746
050960,2016-10-14,10950,11200,10100,10150,1532706
050960,2016-10-17,10300,12600,9700,11550,4731664
050960,2016-10-18,11300,11300,10350,10500,1228054
050960,2016-10-19,10650,11100,10400,10450,964595
050960,2016-10-20,10700,10950,10400,10550,791456
050960,2016-10-21,10500,11650,10200,10900,2462241
050960,2016-10-24,11450,12550,11300,11550,2912460
050960,2016-10-25,11900,12850,11450,11550,2697157
050960,2016-10-26,12550,12750,11000,11750,1603412
050960,2016-10-27,11400,11700,11050,11100,660275
050960,2016-10-28,10950,11100,10450,10500,520518
050960,2016-10-31,10400,10750,10150,10300,317197
050960,2016-11-01,10300,10650,10050,10150,322138
050960,2016-11-02,10150,10150,9200,9200,320939
050960,2016-11-03,9230,9540,9200,9330,101527
050960,2016-11-04,9220,9340,8800,9050,114469
050960,2016-11-07,9080,9190,9030,9190,50627
050960,2016-11-08,9340,10500,9140,9850,523126
050960,2016-11-09,9800,9900,8320,9250,255132
050960,2016-11-10,9340,9630,9270,9420,95319
050960,2016-11-11,9550,9550,9120,9120,111672
050960,2016-11-14,9240,9300,9120,9150,35696
050960,2016-11-15,9200,9200,8950,8950,88776
050960,2016-11-16,8980,9070,8920,8980,59587
050960,2016-11-17,9070,10150,8980,9400,745666
050960,2016-11-18,9400,9400,9070,9090,111185
050960,2016-11-21,9090,9140,8800,8800,86908
050960,2016-11-22,8830,8970,8660,8730,109886
050960,2016-11-23,8730,8790,8270,8540,177301
050960,2016-11-24,8510,8710,8310,8360,80413
050960,2016-11-25,8360,8540,8360,8400,64113
050960,2016-11-28,8470,8900,8470,8550,117665
050960,2016-11-29,8550,8780,8410,8640,77904
050960,2016-11-30,8660,8730,8510,8520,45092
050960,2016-12-01,8510,8520,8210,8450,68587
050960,2016-12-02,8430,8490,8290,8450,46636
050960,2016-12-05,8460,8470,8240,8250,41455
050960,2016-12-06,8260,8490,8260,8490,94524
