Symbol,Date,Open,High,Low,Close,Volume
065680,2004-01-02,2561,2867,2561,2867,881377
065680,2004-01-05,3062,3201,2561,2561,703776
065680,2004-01-06,2700,2756,2572,2616,149324
065680,2004-01-07,2617,2617,2397,2505,83488
065680,2004-01-08,2505,2806,2505,2806,301287
065680,2004-01-09,2884,3034,2789,2884,223335
065680,2004-01-12,2968,3229,2856,3229,249202
065680,2004-01-13,3435,3435,3179,3301,182236
065680,2004-01-14,3380,3380,3062,3168,83319
065680,2004-01-15,3151,3346,3034,3173,99202
065680,2004-01-16,3174,3218,2968,3173,46448
065680,2004-01-19,3201,3224,3034,3034,24623
065680,2004-01-20,2929,3034,2895,2939,22337
065680,2004-01-26,2895,3084,2895,2978,32374
065680,2004-01-27,2995,3001,2856,2895,27058
065680,2004-01-28,2973,2973,2617,2739,64141
065680,2004-01-29,2878,2878,2728,2833,27523
065680,2004-01-30,2828,2828,2706,2789,21583
065680,2004-02-02,2734,2789,2561,2639,122053
065680,2004-02-03,2628,2717,2589,2650,15673
065680,2004-02-04,2617,2672,2561,2588,46151
065680,2004-02-05,2561,2711,2561,2666,62031
065680,2004-02-06,2678,2700,2595,2650,31492
065680,2004-02-09,2739,2739,2667,2700,82427
065680,2004-02-10,2650,2717,2617,2650,33147
065680,2004-02-11,2672,2711,2650,2705,19443
065680,2004-02-12,2734,2951,2681,2806,124805
065680,2004-02-13,2806,2851,2756,2800,36166
065680,2004-02-16,2812,2867,2784,2783,92381
065680,2004-02-17,2801,2934,2795,2895,134117
065680,2004-02-18,2895,3007,2840,2950,130837
065680,2004-02-19,2901,2990,2840,2895,127005
065680,2004-02-20,2873,2951,2801,2895,90352
065680,2004-02-23,2901,2901,2828,2839,26404
065680,2004-02-24,2817,2884,2728,2772,51284
065680,2004-02-25,2773,2828,2717,2783,73269
065680,2004-02-26,2812,2812,2703,2703,23217
065680,2004-02-27,2672,2806,2634,2783,81771
065680,2004-03-02,2748,2845,2714,2822,123344
065680,2004-03-03,2801,3001,2801,2934,137025
065680,2004-03-04,2968,3129,2945,2984,216551
065680,2004-03-05,3034,3151,2945,3090,107379
065680,2004-03-08,3218,3224,3012,3028,102796
065680,2004-03-09,2962,2995,2906,2945,97178
065680,2004-03-10,2945,3157,2912,3017,199736
065680,2004-03-11,2934,3190,2934,3117,145039
065680,2004-03-12,3062,3140,2745,2895,191967
065680,2004-03-15,2951,3051,2929,3006,115709
065680,2004-03-16,2979,3029,2923,3028,83307
065680,2004-03-17,3079,3391,3079,3335,576917
065680,2004-03-18,3335,3508,3252,3296,459795
065680,2004-03-19,3329,3491,3329,3451,262356
065680,2004-03-22,3452,3563,3396,3451,327635
065680,2004-03-23,3480,3630,3419,3557,371030
065680,2004-03-24,3569,3569,3341,3340,254542
