Symbol,Date,Open,High,Low,Close,Volume
236200,2016-02-05,29950,30500,24000,24000,939179
236200,2016-02-11,22100,22400,19950,20350,317734
236200,2016-02-12,20200,21250,18600,20050,133677
236200,2016-02-15,20450,20600,19300,19550,84112
236200,2016-02-16,19850,23150,19600,20150,446387
236200,2016-02-17,20450,21450,19400,21150,144624
236200,2016-02-18,21450,22000,20950,22000,88844
236200,2016-02-19,21950,24700,21650,23250,227769
236200,2016-02-22,23350,23950,22650,22850,76417
236200,2016-02-23,23250,24200,22600,23450,125736
236200,2016-02-24,23450,23700,22050,22250,80792
236200,2016-02-25,22000,22900,21200,21400,85605
236200,2016-02-26,21600,22400,21000,21800,51859
236200,2016-02-29,21900,22700,21100,21350,49706
236200,2016-03-02,21350,22050,21250,21650,67463
236200,2016-03-03,21850,22000,21150,21500,65500
236200,2016-03-04,21500,21500,20700,20800,143154
236200,2016-03-07,21050,21150,20100,20400,142210
236200,2016-03-08,20500,20700,19900,20000,201325
236200,2016-03-09,20000,20150,19700,20000,372728
236200,2016-03-10,20100,25750,20050,23400,1705513
236200,2016-03-11,23600,26350,23100,24900,999557
236200,2016-03-14,24650,24800,23350,23800,307891
236200,2016-03-15,23650,24750,23250,24500,329477
236200,2016-03-16,24400,25350,23000,23350,251931
236200,2016-03-17,23450,25750,23250,24300,549625
236200,2016-03-18,24050,24750,23600,24750,157805
236200,2016-03-21,24800,24900,23750,23800,145705
236200,2016-03-22,24000,24800,23500,24300,192600
236200,2016-03-23,24700,26600,24400,26000,515424
236200,2016-03-24,26100,26650,25350,25800,164253
236200,2016-03-25,25800,25900,24300,24500,201250
236200,2016-03-28,24400,24800,23700,24350,93966
236200,2016-03-29,24300,24850,23800,23850,111704
236200,2016-03-30,23900,24100,23500,23800,108491
236200,2016-03-31,24100,24150,23500,23750,67695
236200,2016-04-01,23800,24500,23700,24500,106800
236200,2016-04-04,24700,25450,24400,24600,127071
236200,2016-04-05,24300,24550,23600,24000,85873
236200,2016-04-06,24000,24000,22450,23150,163984
236200,2016-04-07,23050,23700,22500,23250,107872
236200,2016-04-08,23750,24300,22650,22950,143237
236200,2016-04-11,22750,23050,21100,22550,217587
236200,2016-04-12,22700,28250,22650,26150,1344885
236200,2016-04-14,25300,26150,24450,25800,409699
236200,2016-04-15,25850,26050,24650,24950,121886
236200,2016-04-18,24950,26350,24750,25750,145304
236200,2016-04-19,25750,25950,24900,25400,86912
236200,2016-04-20,25450,26600,25200,26200,173704
236200,2016-04-21,26600,27700,26300,27400,273957
236200,2016-04-22,27400,27950,26900,27800,165965
236200,2016-04-25,28050,28350,27200,27850,117868
236200,2016-04-26,28250,28300,26950,27750,166033
236200,2016-04-27,27950,28700,27050,28000,151368
236200,2016-04-28,27700,28700,27200,27850,115676
236200,2016-04-29,27800,28450,27050,27050,107698
236200,2016-05-02,27000,27700,26600,27050,65997
236200,2016-05-03,27100,27800,26800,27500,76063
236200,2016-05-04,27250,28300,27050,28150,97606
236200,2016-05-09,28250,28300,27700,27750,67379
236200,2016-05-10,27750,29350,27600,29350,144283
236200,2016-05-11,29300,29450,28550,29000,99701
236200,2016-05-12,28900,29600,28550,29100,82537
236200,2016-05-13,29400,29750,28850,29250,120066
236200,2016-05-16,28800,29500,27750,27850,101617
236200,2016-05-17,27850,28800,26900,28550,100754
236200,2016-05-18,28500,28500,27600,28000,54652
236200,2016-05-19,28000,28200,26400,26750,106576
236200,2016-05-20,26450,26900,26100,26450,70455
236200,2016-05-23,26750,27100,25700,25950,81825
