Symbol,Date,Open,High,Low,Close,Volume
352820,2020-10-15,267300,347490,250965,255420,6557212
352820,2020-10-16,250469,250469,197010,198495,4504395
352820,2020-10-19,196515,200475,185129,187110,1977996
352820,2020-10-20,188100,191565,174240,180675,1811616
352820,2020-10-21,178695,183645,175230,177210,1658643
352820,2020-10-22,174735,183150,173745,178200,1193994
352820,2020-10-23,181170,182160,169785,170775,905547
352820,2020-10-26,171270,171765,154440,154440,987951
352820,2020-10-27,152955,164340,150975,160875,1118487
352820,2020-10-28,159885,161865,155925,156915,581195
352820,2020-10-29,153945,159885,152955,155430,518248
352820,2020-10-30,147510,149985,140580,140580,1142310
352820,2020-11-02,141075,145035,139590,142065,412881
352820,2020-11-03,143055,150480,143055,150480,689435
352820,2020-11-04,151965,151965,145530,147510,329773
352820,2020-11-05,148995,171270,148500,162360,1565701
352820,2020-11-06,162855,164340,157905,160380,413106
352820,2020-11-09,162360,167805,159390,161370,429226
352820,2020-11-10,166815,169785,164835,166320,491183
352820,2020-11-11,168795,170280,161370,162360,295999
352820,2020-11-12,162360,162360,154440,155925,326268
352820,2020-11-13,154935,160875,154440,158400,224605
352820,2020-11-16,153945,170280,152955,169785,1162127
352820,2020-11-17,167310,181170,163845,177705,925185
352820,2020-11-18,179685,183645,176220,179685,418979
352820,2020-11-19,179685,180675,174240,178200,287615
352820,2020-11-20,180180,191070,176220,182655,822190
352820,2020-11-23,183150,184140,176220,178200,404421
352820,2020-11-24,179190,179685,172260,179190,387623
352820,2020-11-25,181665,182655,170775,172260,441052
352820,2020-11-26,175230,179685,173250,174240,343663
352820,2020-11-27,176220,176715,173250,176220,128351
352820,2020-11-30,176220,179190,174735,177705,177706
352820,2020-12-01,180675,183150,177705,179190,328175
352820,2020-12-02,181170,181170,178200,180180,195743
352820,2020-12-03,181665,188594,180180,187605,666358
352820,2020-12-04,187110,187604,183150,185625,258344
352820,2020-12-07,186615,186615,178200,178695,254368
352820,2020-12-08,178200,181665,175230,180180,203373
352820,2020-12-09,181170,181170,178200,178200,156872
352820,2020-12-10,177210,179685,175230,179685,388533
352820,2020-12-11,180180,180180,177210,178695,143946
352820,2020-12-14,177705,177705,173250,173745,197662
352820,2020-12-15,173745,173745,168795,170280,152204
352820,2020-12-16,171270,172260,169290,171270,97010
352820,2020-12-17,167310,167310,158895,159885,1122966
352820,2020-12-18,160875,162360,158895,160380,162232
352820,2020-12-21,160380,160380,155430,156915,161286
352820,2020-12-22,155925,156915,152460,152955,166164
352820,2020-12-23,152955,156420,150975,151470,149781
352820,2020-12-24,151470,156915,149985,156420,132612
352820,2020-12-28,156915,157410,153450,154935,115532
352820,2020-12-29,154935,158895,153450,156915,110675
352820,2020-12-30,156915,159390,155925,158400,117495
352820,2021-01-04,158400,158895,154440,156420,152926
352820,2021-01-05,155430,157410,153945,156915,168962
352820,2021-01-06,158400,159390,155925,156915,148194
352820,2021-01-07,156915,157905,155430,155430,139860
352820,2021-01-08,156420,160380,153450,158895,285332
352820,2021-01-11,160380,160875,152460,152955,253932
