Symbol,Date,Open,High,Low,Close,Volume
095660,2007-07-02,18423,21187,18423,21187,10024
095660,2007-07-03,24352,24352,24352,24353,619
095660,2007-07-04,28003,28003,28003,28004,587
095660,2007-07-05,32189,32189,32189,32191,15922
095660,2007-07-06,37014,37014,37014,37014,154621
095660,2007-07-09,35840,41602,33998,38187,311273
095660,2007-07-10,37516,38689,34920,36009,105847
095660,2007-07-11,36008,39307,35623,36043,111679
095660,2007-07-12,36226,37013,34669,34670,35294
095660,2007-07-13,34921,35474,33497,33497,55011
095660,2007-07-16,33831,33915,32725,32995,25368
095660,2007-07-18,33832,34083,32659,33497,30876
095660,2007-07-19,33496,33496,32273,33464,21831
095660,2007-07-20,33345,33864,32993,33179,15733
095660,2007-07-23,33497,36512,33446,34971,41421
095660,2007-07-24,35506,35673,34166,34335,9853
095660,2007-07-25,34133,34133,33127,33665,19922
095660,2007-07-26,33832,33949,33447,33497,8066
095660,2007-07-27,32961,32961,31353,31822,22030
095660,2007-07-30,32157,32810,31571,31822,8758
095660,2007-07-31,32157,32308,31437,31822,9858
095660,2007-08-01,31822,31822,29829,29980,8831
095660,2007-08-02,30213,30431,28974,29478,5896
095660,2007-08-03,29325,30314,29325,29561,10548
095660,2007-08-06,28640,29193,28405,28908,5509
095660,2007-08-07,29191,29310,28908,29092,5751
095660,2007-08-08,29159,31738,29159,31152,8414
095660,2007-08-09,31018,31721,31018,31286,2414
095660,2007-08-10,30984,31168,30163,30399,3701
095660,2007-08-13,30968,30968,30147,30298,2517
095660,2007-08-14,30482,30482,29141,29645,6843
095660,2007-08-16,28806,28806,25205,26798,19812
095660,2007-08-17,27299,27299,23950,23967,21667
095660,2007-08-20,25122,26044,24787,24955,12283
095660,2007-08-21,24955,25793,24838,24905,7093
095660,2007-08-22,24871,25139,24737,24738,11601
095660,2007-08-23,25122,26378,25122,26295,14279
095660,2007-08-24,25976,28053,25976,26882,11232
095660,2007-08-27,27802,27802,26461,26748,10527
095660,2007-08-28,26965,27266,26714,26965,6559
095660,2007-08-29,26044,26781,25374,26781,4904
095660,2007-08-30,27099,28288,26965,27635,13267
095660,2007-08-31,27634,28253,27131,28054,16120
095660,2007-09-03,28087,28171,27183,27183,6819
095660,2007-09-04,27182,27216,26126,26212,16381
095660,2007-09-05,26262,26748,24871,25843,28084
095660,2007-09-06,25456,25909,25289,25810,8250
095660,2007-09-07,25809,26613,25708,25810,12418
095660,2007-09-10,25624,25809,24786,25475,8715
095660,2007-09-11,25474,25708,24987,25274,8172
095660,2007-09-12,24619,25188,23447,23867,16753
095660,2007-09-13,23531,24167,22693,23214,17222
095660,2007-09-14,23447,24033,23179,23214,13482
095660,2007-09-17,23279,23782,22793,22795,11510
095660,2007-09-18,22944,24100,22107,23934,51800
095660,2007-09-19,24704,24704,23699,24687,13918
095660,2007-09-20,25540,25540,24987,25123,21923
095660,2007-09-21,25775,28807,25624,28272,49285
095660,2007-09-27,28957,28957,27081,27334,16686
095660,2007-09-28,27635,27635,26462,27417,9539
095660,2007-10-01,27584,27584,26580,26965,13619
095660,2007-10-02,26997,27198,26461,26597,10319
095660,2007-10-04,26679,27131,26126,26128,16889
095660,2007-10-05,26195,26413,25457,26044,12223
095660,2007-10-08,26127,26295,25156,25357,11879
095660,2007-10-09,25240,26295,25223,25709,15759
095660,2007-10-10,26295,28272,25960,27970,31961
095660,2007-10-11,28288,28506,27300,28305,22109
095660,2007-10-12,28304,28438,27550,28054,15197
095660,2007-10-15,28238,29326,28153,28891,34971
095660,2007-10-16,28806,28806,27031,27133,24438
095660,2007-10-17,26880,27232,25490,26463,15145
095660,2007-10-18,26463,26798,25960,25977,8064
095660,2007-10-19,26059,26327,25322,25324,11423
095660,2007-10-22,23531,24953,23531,24955,8666
095660,2007-10-23,25792,25792,25004,25274,11565
095660,2007-10-24,25138,26562,25138,26128,26013
095660,2007-10-25,27550,30045,26796,30047,66224
095660,2007-10-26,29963,29980,26546,26630,73081
095660,2007-10-29,27216,27918,26965,27300,25125
095660,2007-10-30,27083,27417,26044,26178,15410
095660,2007-10-31,26177,27333,26177,27016,24511
095660,2007-11-01,27299,27550,26796,27133,12514
095660,2007-11-02,26059,27131,26059,27133,12405
095660,2007-11-05,27969,28137,27215,27468,12395
095660,2007-11-06,27382,27651,26362,26429,13247
095660,2007-11-07,26495,27416,26294,27401,14706
095660,2007-11-08,26797,27970,26697,27300,28100
095660,2007-11-09,30850,31350,30600,31350,30061
095660,2007-11-12,31800,33950,27550,29550,86923
095660,2007-11-13,28250,29100,27000,27700,18160
095660,2007-11-14,28300,28800,27150,27150,14476
095660,2007-11-15,26350,26900,25000,25350,23958
095660,2007-11-16,25100,25100,24075,24325,16161
095660,2007-11-19,24350,26199,24350,25900,12807
095660,2007-11-20,25450,26450,24674,26250,8779
095660,2007-11-21,25750,26550,25000,25000,10478
095660,2007-11-22,25000,26200,24850,24950,9271
095660,2007-11-23,24950,25750,23700,24000,14330
095660,2007-11-26,24300,24425,23550,24000,15491
095660,2007-11-27,24400,25250,23950,25000,21768
095660,2007-11-28,25150,25600,24025,24400,8711
095660,2007-11-29,24975,24975,24198,24900,12252
095660,2007-11-30,24750,25850,24575,25750,9161
095660,2007-12-03,25450,25500,24800,24850,8014
095660,2007-12-04,24500,24875,24350,24375,9423
095660,2007-12-05,23750,23975,22998,23425,86757
095660,2007-12-06,23250,24550,22750,24150,70565
095660,2007-12-07,24025,24075,23224,23575,20479
095660,2007-12-10,23250,23275,22500,22550,33187
095660,2007-12-11,22600,23325,21875,21875,24891
095660,2007-12-12,21100,21700,20900,21400,24863
095660,2007-12-13,21075,21400,20400,20875,43671
095660,2007-12-14,20950,21150,20000,20425,41579
095660,2007-12-17,20100,20400,18625,18800,60042
095660,2007-12-18,18425,20000,18000,18875,63169
095660,2007-12-20,19000,19450,17775,17775,55849
095660,2007-12-21,17775,18200,17350,18100,24760
095660,2007-12-24,18100,18675,17750,18575,31764
095660,2007-12-26,19150,19175,18500,18500,27100
095660,2007-12-27,18350,18700,17850,18200,26266
