Symbol,Date,Open,High,Low,Close,Volume
282690,2017-11-29,14500,15900,11650,12500,1774104
282690,2017-11-30,12600,13450,12350,12500,657082
282690,2017-12-01,12700,13050,12400,12550,290076
282690,2017-12-04,12600,12800,12500,12550,126956
282690,2017-12-05,12450,12600,12000,12400,160020
282690,2017-12-06,12400,12500,11700,11700,187291
282690,2017-12-07,11700,11950,11100,11600,126716
282690,2017-12-08,11600,11800,11250,11250,77139
282690,2017-12-11,11200,11250,10750,11150,99728
282690,2017-12-12,11150,11650,10900,10900,89851
282690,2017-12-13,10900,11100,10700,10800,90510
282690,2017-12-14,10800,10800,10500,10700,117529
282690,2017-12-15,10700,11050,10450,10450,221851
282690,2017-12-18,10500,10500,10100,10100,154257
282690,2017-12-19,10150,10300,9800,9950,99195
282690,2017-12-20,9970,10050,9870,9940,22614
282690,2017-12-21,10050,10050,9850,9970,17378
282690,2017-12-22,9920,9960,9690,9810,60352
282690,2017-12-26,9900,10200,9750,9950,45901
282690,2017-12-27,9950,10200,9910,10050,18485
282690,2017-12-28,10150,10450,10050,10150,31071
282690,2018-01-02,10300,10300,10000,10300,21671
282690,2018-01-03,10400,11200,10300,11150,58954
282690,2018-01-04,11350,11550,10850,11150,42323
282690,2018-01-05,11500,11500,11150,11150,21716
282690,2018-01-08,11450,11450,10900,10900,43879
282690,2018-01-09,10950,11650,10950,11650,94499
282690,2018-01-10,11550,12200,11350,12200,52141
282690,2018-01-11,12200,12700,11900,12400,81247
282690,2018-01-12,12400,12750,12050,12150,44593
282690,2018-01-15,12150,12350,12050,12300,21894
282690,2018-01-16,12200,12400,12150,12300,12320
282690,2018-01-17,12350,12500,12150,12400,22459
282690,2018-01-18,12400,12800,12200,12700,25926
282690,2018-01-19,12800,12950,12550,12900,23320
282690,2018-01-22,13150,13500,12700,13100,56209
282690,2018-01-23,13350,13550,12850,13500,75201
282690,2018-01-24,13700,13700,13250,13450,21743
282690,2018-01-25,13350,13800,13200,13750,67526
282690,2018-01-26,13750,14250,13350,13600,32288
282690,2018-01-29,13600,13700,13100,13600,44483
282690,2018-01-30,13600,13650,13300,13600,41406
282690,2018-01-31,13450,13750,13350,13400,22601
282690,2018-02-01,13250,13950,13250,13850,21484
282690,2018-02-02,13850,14600,13650,13950,68492
282690,2018-02-05,14000,14000,13200,13950,37666
282690,2018-02-06,13850,13850,13400,13400,28438
282690,2018-02-07,13450,14000,13450,13500,19010
282690,2018-02-08,13450,14150,13300,13750,37995
282690,2018-02-09,13750,14000,13450,13600,7291
282690,2018-02-12,13600,13950,13350,13600,32815
282690,2018-02-13,13600,13950,13550,13600,19227
282690,2018-02-14,13500,13750,13400,13700,19814
282690,2018-02-19,13700,14150,13550,13950,25704
282690,2018-02-20,13950,14000,13800,13850,20482
282690,2018-02-21,13850,14250,13750,13850,19586
282690,2018-02-22,13850,14000,13750,13950,5851
282690,2018-02-23,13850,14500,13750,14450,32631
282690,2018-02-26,14450,17700,14400,15400,198377
282690,2018-02-27,15450,15600,14950,15000,40308
282690,2018-02-28,14950,15300,14650,15100,26479
282690,2018-03-02,14900,15450,14650,15200,16734
282690,2018-03-05,15300,15400,14800,15400,22646
282690,2018-03-06,15450,15600,15150,15250,13470
282690,2018-03-07,15200,15250,14900,15200,14500
282690,2018-03-08,15150,15150,14950,15150,11186
282690,2018-03-09,15100,15300,14350,14650,82829
282690,2018-03-12,14700,15450,14350,15450,19623
282690,2018-03-13,15450,15750,15050,15100,19891
282690,2018-03-14,15100,15250,14850,14900,1631
282690,2018-03-15,14750,14950,14550,14700,10373
282690,2018-03-16,14650,14800,14450,14450,6273
282690,2018-03-19,14400,14650,13900,14000,15856
282690,2018-03-20,13750,14050,13400,13550,19303
282690,2018-03-21,13600,13800,13150,13550,16065
282690,2018-03-22,13550,13600,13250,13400,14407
282690,2018-03-23,13400,14350,12700,13550,37264
282690,2018-03-26,13550,13950,13150,13600,7065
282690,2018-03-27,13550,13850,13350,13600,5871
282690,2018-03-28,13350,13650,13300,13450,5587
282690,2018-03-29,13450,13600,13350,13400,905
282690,2018-03-30,13400,14700,13350,14150,59672
282690,2018-04-02,14150,14150,13600,13600,18090
282690,2018-04-03,13600,14500,13300,14150,36735
282690,2018-04-04,14150,14250,13250,13250,23579
282690,2018-04-05,13250,13750,13150,13500,10248
282690,2018-04-06,13500,13900,13350,13700,8038
282690,2018-04-09,13650,14500,13550,14400,33481
282690,2018-04-10,14200,14550,14000,14150,9659
282690,2018-04-11,14150,14600,13950,14050,4130
282690,2018-04-12,14200,14650,13900,14550,42440
282690,2018-04-13,14450,14600,14150,14200,13922
282690,2018-04-16,14700,14700,13950,14200,18530
282690,2018-04-17,14600,14600,13950,14300,9541
282690,2018-04-18,14100,14400,14000,14100,5180
282690,2018-04-19,14100,14100,13800,14050,12404
282690,2018-04-20,14000,14000,13750,13800,15668
282690,2018-04-23,13800,13950,13500,13800,14855
282690,2018-04-24,13900,14100,13800,14050,7704
282690,2018-04-25,14050,14350,13900,14150,16790
282690,2018-04-26,14150,14250,14000,14150,17517
282690,2018-04-27,14200,14300,14100,14100,11596
282690,2018-04-30,14050,14150,13800,13800,2643
282690,2018-05-02,14000,14100,13700,13850,3536
282690,2018-05-03,13750,13850,13400,13400,3427
282690,2018-05-04,13400,13500,13150,13500,1490
282690,2018-05-08,13250,13550,13250,13550,2681
282690,2018-05-09,13500,13650,13300,13600,3721
282690,2018-05-10,13600,13600,13300,13350,7044
282690,2018-05-11,13400,13600,13300,13550,1681
282690,2018-05-14,13750,14050,13400,13700,7389
282690,2018-05-15,13600,13600,13400,13550,1649
282690,2018-05-16,13400,17550,13300,13950,195750
282690,2018-05-17,13900,14050,13600,13950,25012
282690,2018-05-18,13950,14650,13750,14650,24107
282690,2018-05-21,14650,14750,14350,14400,16678
282690,2018-05-23,14400,14400,14100,14200,8010
282690,2018-05-24,14200,14700,14150,14300,11696
282690,2018-05-25,14400,14500,13950,14200,12883
282690,2018-05-28,14800,14800,13900,13900,8497
282690,2018-05-29,13900,13900,13450,13450,12518
282690,2018-05-30,13500,13500,13100,13100,5385
282690,2018-05-31,13100,13300,12950,13000,36939
282690,2018-06-01,13100,13700,13000,13500,8095
282690,2018-06-04,13450,13900,13250,13300,3913
282690,2018-06-05,13250,13700,13200,13700,1872
282690,2018-06-07,13900,14000,13400,13650,10911
282690,2018-06-08,13650,14250,13500,13500,10819
282690,2018-06-11,13500,14000,13400,13550,6316
282690,2018-06-12,13500,13900,13450,13500,10185
282690,2018-06-14,13650,14200,13300,13300,16979
282690,2018-06-15,13200,13900,13200,13200,22838
282690,2018-06-18,13250,13950,13100,13650,6079
282690,2018-06-19,13450,13850,13250,13650,7439
282690,2018-06-20,13600,13850,13350,13550,4190
282690,2018-06-21,13600,14200,13400,13750,5219
282690,2018-06-22,13550,14350,13400,13400,7341
282690,2018-06-25,13400,13850,13350,13750,1088
282690,2018-06-26,13850,13900,13350,13850,1978
282690,2018-06-27,14100,14150,13600,14100,2719
282690,2018-06-28,14100,14300,13750,13750,9161
282690,2018-06-29,13650,14100,13650,14100,1500
282690,2018-07-02,14100,14200,13500,13600,5862
282690,2018-07-03,13600,13850,13550,13650,4637
282690,2018-07-04,13750,13750,13650,13700,2214
282690,2018-07-05,13700,14100,13600,14050,5034
282690,2018-07-06,14050,14150,13950,13950,1712
282690,2018-07-09,13900,14150,13800,14000,16643
282690,2018-07-10,14150,14150,13800,14050,3576
282690,2018-07-11,14050,14050,13900,14000,842
282690,2018-07-12,14000,14000,13850,14000,2351
282690,2018-07-13,13750,14050,13750,14050,762
282690,2018-07-16,14000,14100,13650,13900,37393
282690,2018-07-17,13850,13900,13800,13900,631
282690,2018-07-18,13900,13900,13450,13450,9053
282690,2018-07-19,13300,13500,13250,13400,3543
282690,2018-07-20,13400,13400,12900,12950,58347
282690,2018-07-23,13000,13300,12700,13050,29575
282690,2018-07-24,13050,13050,12850,12950,2448
282690,2018-07-25,12900,13100,12550,13000,18942
282690,2018-07-26,13000,13000,12600,12650,11461
282690,2018-07-27,12700,13200,12600,13050,4803
282690,2018-07-30,13250,13250,12600,12700,11065
282690,2018-07-31,12550,13050,12500,13050,6162
282690,2018-08-01,13050,13250,13050,13150,1234
282690,2018-08-02,13250,13500,13150,13400,3764
282690,2018-08-03,13300,13400,13200,13300,514
282690,2018-08-06,13400,13400,13250,13300,1870
282690,2018-08-07,13300,13300,13050,13300,1243
282690,2018-08-08,13100,13300,13100,13250,123
282690,2018-08-09,13100,13400,13050,13350,4495
282690,2018-08-10,13250,13600,13250,13550,1997
282690,2018-08-13,13350,13650,13100,13500,1246
282690,2018-08-14,13350,13500,13250,13450,862
282690,2018-08-16,13450,13600,13200,13550,3712
282690,2018-08-17,13550,13600,13350,13600,1504
282690,2018-08-20,13750,13750,13400,13550,911
282690,2018-08-21,13550,13550,13350,13450,755
282690,2018-08-22,13400,13550,12900,13250,4213
282690,2018-08-23,13250,13300,13100,13300,595
282690,2018-08-24,13150,13300,13100,13300,1682
282690,2018-08-27,13100,13500,13050,13500,6672
282690,2018-08-28,13350,13350,12950,12950,38598
282690,2018-08-29,12900,13150,12850,13100,2571
282690,2018-08-30,13000,13300,12900,13100,60750
282690,2018-08-31,12950,13200,12950,12950,2499
282690,2018-09-03,12950,13150,12950,13050,454
282690,2018-09-04,13000,13400,13000,13350,10198
282690,2018-09-05,13350,13450,13050,13350,5007
282690,2018-09-06,13300,13400,13150,13400,2971
282690,2018-09-07,13400,13550,13400,13550,6347
282690,2018-09-10,13550,13600,13350,13400,2184
282690,2018-09-11,13350,13600,13350,13500,5210
282690,2018-09-12,13500,13550,13400,13550,680
282690,2018-09-13,13500,13650,13200,13650,8530
282690,2018-09-14,13750,13900,13500,13800,4250
282690,2018-09-17,13600,13900,13600,13600,258
282690,2018-09-18,13800,14100,13500,13500,13797
282690,2018-09-19,13650,13650,13350,13650,18332
282690,2018-09-20,13650,13650,13400,13450,492
282690,2018-09-21,13400,13600,13400,13400,1067
282690,2018-09-27,13550,13600,13200,13550,5927
282690,2018-09-28,13400,13600,13400,13600,1541
282690,2018-10-01,13600,13650,13500,13650,285
282690,2018-10-02,13700,13700,13500,13600,1117
282690,2018-10-04,13550,13600,13350,13550,2520
282690,2018-10-05,13350,13950,13350,13950,6373
282690,2018-10-08,14450,14450,13500,13500,1015
282690,2018-10-10,13500,14000,13500,13500,1209
282690,2018-10-11,13850,13850,12900,12900,12540
282690,2018-10-12,12800,13750,12800,13750,8538
282690,2018-10-15,13750,13900,13600,13850,275
282690,2018-10-16,13800,13850,13350,13450,3447
282690,2018-10-17,13450,13550,13350,13450,800
282690,2018-10-18,13350,13400,13150,13400,25510
282690,2018-10-19,13400,13400,13100,13300,2046
282690,2018-10-22,13100,13350,13050,13200,193
282690,2018-10-23,13350,13350,13050,13050,692
282690,2018-10-24,12950,13250,12750,13050,4048
282690,2018-10-25,12550,13000,12550,12900,3474
282690,2018-10-26,12850,13800,12850,13500,8664
282690,2018-10-29,13350,13550,13150,13300,4279
282690,2018-10-30,13400,13500,12850,13400,2628
282690,2018-10-31,13250,13450,13200,13450,853
282690,2018-11-01,13300,13550,13250,13550,645
282690,2018-11-02,13400,13550,13350,13500,4016
282690,2018-11-05,13200,13550,13200,13550,2934
282690,2018-11-06,13550,13550,13200,13300,1613
282690,2018-11-07,13400,13450,13200,13300,98
282690,2018-11-08,13300,13350,13200,13300,72
