Symbol,Date,Open,High,Low,Close,Volume
323410,2021-08-06,53700,69800,51000,69800,59402373
323410,2021-08-09,69800,89100,69000,78500,44833696
323410,2021-08-10,81800,85600,68000,71400,26495122
323410,2021-08-11,71200,77500,68100,74400,21592734
323410,2021-08-12,73600,75400,72700,73800,5878196
323410,2021-08-13,73500,78600,73500,76600,10907993
323410,2021-08-17,78100,88300,77500,87400,24272931
323410,2021-08-18,89600,94400,83800,84500,21008684
323410,2021-08-19,87300,92300,86400,92000,13606690
323410,2021-08-20,92800,94000,88600,91000,15815275
323410,2021-08-23,91900,92800,87900,89800,4868621
323410,2021-08-24,90000,90000,84700,85400,6553145
323410,2021-08-25,84500,84600,81500,82100,6086152
323410,2021-08-26,83400,85300,82100,83400,4255489
323410,2021-08-27,82500,84400,82500,83800,2174014
323410,2021-08-30,84000,84300,81600,81900,1782049
323410,2021-08-31,81000,83900,80900,83900,1768789
323410,2021-09-01,83800,88900,82900,88800,6376407
323410,2021-09-02,81800,83600,81000,81900,22859096
323410,2021-09-03,82900,83000,80200,80800,3987547
323410,2021-09-06,77000,78400,76000,77400,5252682
323410,2021-09-07,77300,77300,72600,73000,6001690
323410,2021-09-08,73400,75800,71400,72300,5849714
323410,2021-09-09,71300,73000,70300,72000,5748242
323410,2021-09-10,71000,72400,68100,68900,6750339
323410,2021-09-13,67800,67800,64500,64600,4628803
323410,2021-09-14,63600,72300,63300,69700,10421448
323410,2021-09-15,70100,73200,69000,69000,5077664
323410,2021-09-16,69900,70000,66700,67100,2452019
323410,2021-09-17,67100,68600,65000,68000,2461251
323410,2021-09-23,66900,67200,66200,66400,1281700
323410,2021-09-24,67100,69500,67000,69000,2107645
