Symbol,Date,Open,High,Low,Close,Volume
126700,2010-09-10,5531,5543,5503,5504,207962
126700,2010-09-13,5487,5487,5419,5435,119166
126700,2010-09-14,5419,5502,5309,5325,451696
126700,2010-09-15,5323,5393,5323,5366,8379
126700,2010-09-16,5377,5392,5349,5380,18799
126700,2010-09-17,5393,5393,5351,5366,85425
126700,2010-09-20,5393,5393,5351,5366,25236
126700,2010-09-24,5364,5392,5349,5353,4006
126700,2010-09-27,5351,5406,5351,5394,22635
126700,2010-09-28,5404,5404,5377,5408,8464
126700,2010-09-29,5406,5421,5393,5421,42563
126700,2010-09-30,5421,5516,5421,5477,1199672
126700,2010-10-01,5503,5558,5476,5559,343661
126700,2010-10-04,5570,5570,5515,5518,15763
126700,2010-10-05,5515,5542,5515,5545,11150
126700,2010-10-06,5530,5542,5530,5545,7149
126700,2010-10-07,5558,5558,5448,5559,19441
126700,2010-10-08,5531,5571,5531,5559,17485
126700,2010-10-11,5558,5571,5531,5559,38400
126700,2010-10-12,5571,5614,5571,5614,24480
126700,2010-10-13,5613,6427,5585,5739,25216
126700,2010-10-14,5793,5821,5751,5794,30607
126700,2010-10-15,5821,5848,5766,5794,84043
126700,2010-10-18,5999,5999,5766,5794,66714
126700,2010-10-19,5793,5793,5766,5794,66735
126700,2010-10-20,5792,5819,5777,5780,43779
126700,2010-10-21,5903,5986,5766,5932,59586
126700,2010-10-22,5931,6014,5903,5987,161535
126700,2010-10-25,6054,6219,6014,6070,44619
126700,2010-10-26,6163,6163,6040,6111,87555
126700,2010-10-27,6317,6317,6069,6125,119514
126700,2010-10-28,6123,6218,6080,6139,311532
126700,2010-10-29,6137,6207,5959,6208,74902
126700,2010-11-01,6301,6301,6151,6221,216361
126700,2010-11-02,6152,6207,6069,6153,166447
126700,2010-11-03,6150,6150,6040,6139,7457
126700,2010-11-04,6137,6137,6042,6042,13367
126700,2010-11-05,6081,6206,6068,6166,19000
126700,2010-11-08,6124,6124,6042,6042,19879
126700,2010-11-09,5998,6068,5985,6001,9627
126700,2010-11-10,5957,5985,5887,5973,4629
126700,2010-11-11,5903,6069,5876,5959,24294
126700,2010-11-12,6069,6097,5999,6070,15655
126700,2010-11-15,6069,6069,5931,6042,4714
126700,2010-11-16,6040,6040,5970,6029,8529
126700,2010-11-17,6040,6068,6013,6056,30586
126700,2010-11-18,6053,6053,5970,6001,13088
126700,2010-11-19,6042,6042,5987,6015,5905
126700,2010-11-22,5971,5971,5861,5932,25098
126700,2010-11-23,5876,5943,5793,5904,10978
126700,2010-11-24,5585,6069,5585,5794,9184
126700,2010-11-25,5766,5903,5766,5904,14112
126700,2010-11-26,5888,5903,5793,5849,23456
126700,2010-11-29,5888,5888,5738,5766,5871
126700,2010-11-30,5876,5876,5848,5849,105
126700,2010-12-01,5876,5876,5876,5877,3
126700,2010-12-02,5737,5902,5707,5890,23458
126700,2010-12-03,5764,5832,5737,5780,27707
126700,2010-12-06,5778,5778,5598,5766,4154
126700,2010-12-07,5971,5971,5751,5766,45003
126700,2010-12-08,5778,5778,5723,5766,30815
126700,2010-12-09,5750,5874,5737,5863,18320
126700,2010-12-10,5929,6067,5722,5863,17610
126700,2010-12-13,5848,5848,5806,5821,3636
126700,2010-12-14,0,0,0,5808,0
126700,2010-12-15,5611,5777,5611,5780,12500
126700,2010-12-16,5597,5708,5597,5711,19430
126700,2010-12-17,5709,5709,5599,5697,14743
126700,2010-12-20,5737,5737,5541,5725,1512
126700,2010-12-21,5724,5724,5531,5642,6050
126700,2010-12-22,5530,5640,5502,5545,85604
126700,2010-12-23,5515,5625,5460,5490,34453
126700,2010-12-24,5668,5668,5447,5463,44748
126700,2010-12-27,5653,5653,5502,5573,120633
126700,2010-12-28,5571,5571,5421,5532,27049
126700,2010-12-29,5530,5530,5460,5518,10205
126700,2010-12-30,5460,5515,5460,5518,48870
126700,2011-01-03,5586,5586,5476,5559,21875
126700,2011-01-04,5487,5570,5487,5545,5638
126700,2011-01-05,5571,5571,5543,5559,10055
126700,2011-01-06,5558,5654,5503,5559,19389
126700,2011-01-07,5626,5889,5461,5559,23124
126700,2011-01-10,5654,5654,5503,5559,7606
126700,2011-01-11,5516,5571,5503,5504,40634
126700,2011-01-12,5502,5570,5502,5573,17549
126700,2011-01-13,5570,5570,5502,5573,8897
126700,2011-01-14,5487,5570,5487,5573,6068
126700,2011-01-17,5488,5586,5488,5504,5019
126700,2011-01-18,5515,5542,5515,5545,12270
126700,2011-01-19,5516,5543,5503,5532,7910
126700,2011-01-20,5475,5515,5475,5518,3117
126700,2011-01-21,5542,5542,5487,5518,10199
126700,2011-01-24,5476,5516,5448,5449,7051
126700,2011-01-25,5542,5542,5432,5435,7802
126700,2011-01-26,5432,5460,5350,5463,8059
126700,2011-01-27,5254,5515,5254,5490,3653
126700,2011-01-28,5338,5543,5338,5504,8987
126700,2011-01-31,5502,5502,5337,5380,5521
126700,2011-02-01,5392,5502,5309,5353,3498
126700,2011-02-07,5337,5515,5337,5518,6738
126700,2011-02-08,5338,5476,5323,5366,8354
126700,2011-02-09,5488,5488,5351,5477,3175
126700,2011-02-10,5322,5475,5322,5463,8302
126700,2011-02-11,5323,5393,5267,5283,10662
126700,2011-02-14,5255,5378,5200,5283,11837
126700,2011-02-15,5281,5322,5211,5297,7335
126700,2011-02-16,5171,5322,5171,5297,43835
126700,2011-02-17,5322,5322,5211,5297,2784
126700,2011-02-18,5184,5322,5184,5297,5690
126700,2011-02-21,5266,5294,5171,5242,22077
