Symbol,Date,Open,High,Low,Close,Volume
054050,2002-04-02,13600,13600,13600,13600,16348
054050,2002-04-03,15200,15200,15200,15200,73710
054050,2002-04-04,15850,16800,14300,15100,1505342
054050,2002-04-08,14250,15850,13600,14100,488361
054050,2002-04-09,14100,14400,12450,12450,389050
054050,2002-04-10,11250,11900,11000,11000,335513
054050,2002-04-11,11000,12300,10650,12300,821522
054050,2002-04-12,11700,11900,10850,11650,461303
054050,2002-04-15,11750,12000,11000,11100,235351
054050,2002-04-16,11300,11400,10500,10750,236365
054050,2002-04-17,11050,11100,10500,11050,206174
054050,2002-04-18,11000,11100,10300,10450,167048
054050,2002-04-19,10200,10500,9300,9520,231498
054050,2002-04-22,9520,9870,8380,8440,212149
054050,2002-04-23,8010,8290,7850,8100,143101
054050,2002-04-24,7620,8150,7600,7600,140969
054050,2002-04-25,7300,7660,7000,7000,166202
054050,2002-04-26,7200,7840,7100,7750,212872
054050,2002-04-29,7410,7700,7040,7700,206317
054050,2002-04-30,7720,8190,7720,7810,256030
054050,2002-05-02,8000,8100,7760,7790,165619
054050,2002-05-03,7790,7860,7120,7860,228906
054050,2002-05-06,8050,8750,8010,8210,564354
054050,2002-05-07,8050,8050,7580,7630,179915
054050,2002-05-08,7750,7940,7500,7500,129942
054050,2002-05-09,7570,7740,7200,7290,136172
054050,2002-05-10,7150,7380,7150,7300,64938
054050,2002-05-13,7300,7470,7220,7330,97454
054050,2002-05-14,7330,7440,7110,7240,116492
054050,2002-05-15,7250,7400,7130,7240,109788
054050,2002-05-16,7230,7460,7230,7250,106796
054050,2002-05-17,7250,7350,7180,7210,122708
054050,2002-05-20,7160,7700,7150,7490,214019
054050,2002-05-21,7490,7740,7050,7180,190589
054050,2002-05-22,7180,7290,7050,7200,80040
054050,2002-05-23,7250,7280,6700,6700,113146
054050,2002-05-24,6750,6950,6330,6850,155378
054050,2002-05-27,6950,7200,6410,6410,205825
054050,2002-05-28,6350,6410,6000,6000,119697
054050,2002-05-29,6000,6010,5590,5600,88648
054050,2002-05-30,5400,5700,5210,5210,99560
054050,2002-05-31,5160,5320,5060,5160,57017
054050,2002-06-03,5160,5270,4850,4850,135891
054050,2002-06-04,4620,5000,4520,4980,305179
054050,2002-06-05,5060,5250,4990,5020,259879
054050,2002-06-07,4910,5100,4700,4700,126271
054050,2002-06-10,4800,4840,4700,4750,123583
054050,2002-06-11,4840,5290,4810,5100,225957
054050,2002-06-12,5090,5700,5000,5530,309785
054050,2002-06-14,5550,5740,5330,5600,170486
054050,2002-06-17,5700,5710,5360,5420,169272
054050,2002-06-18,5500,5580,5100,5170,126652
054050,2002-06-19,5030,5200,4640,4730,140556
054050,2002-06-20,4650,4900,4580,4630,50860
054050,2002-06-21,4520,4610,4400,4600,51034
054050,2002-06-24,4410,4490,4130,4200,103129
054050,2002-06-25,4180,4300,3920,3920,126217
054050,2002-06-26,3910,4200,3880,4130,354204
054050,2002-06-27,4300,4620,4260,4580,742888
054050,2002-06-28,4570,4750,4420,4580,459966
054050,2002-07-02,4500,4950,4380,4630,580430
054050,2002-07-03,4690,4900,4470,4900,373903
054050,2002-07-04,5200,5290,4930,5180,606240
054050,2002-07-05,5290,5800,5230,5700,877873
054050,2002-07-08,5610,5840,5120,5180,629526
054050,2002-07-09,5230,5440,5100,5380,378301
054050,2002-07-10,5300,5650,5210,5430,592793
054050,2002-07-11,5450,5700,5400,5540,743909
054050,2002-07-12,5800,6160,5710,5840,703770
054050,2002-07-15,5840,5840,5520,5520,338504
054050,2002-07-16,5520,5600,5010,5140,396344
054050,2002-07-18,5250,5300,5080,5090,212266
054050,2002-07-19,5000,5040,4550,4670,287117
054050,2002-07-22,4150,4400,4110,4150,227317
054050,2002-07-23,4000,4610,4000,4600,219684
054050,2002-07-24,4400,4450,4160,4270,268638
054050,2002-07-25,4690,4700,4360,4400,169814
054050,2002-07-26,4430,4830,4420,4570,541425
054050,2002-07-29,4630,4880,4120,4300,468088
054050,2002-07-30,4410,4530,4350,4420,196133
054050,2002-07-31,4420,4450,4240,4290,152458
054050,2002-08-01,4170,4360,4170,4300,86008
054050,2002-08-02,4200,4300,4190,4300,120644
054050,2002-08-05,4250,4300,4090,4160,112049
054050,2002-08-06,4010,4140,3990,4140,71213
054050,2002-08-07,4240,4300,4150,4180,72485
054050,2002-08-08,4210,4300,4190,4230,92170
054050,2002-08-09,4400,4530,4150,4300,415147
054050,2002-08-12,4300,4360,4250,4290,103203
054050,2002-08-13,4300,4690,4280,4670,394639
054050,2002-08-14,4650,4820,4600,4650,411901
054050,2002-08-16,4770,4820,4650,4700,262425
054050,2002-08-19,4730,4760,4470,4550,218932
054050,2002-08-20,4580,4650,4500,4510,203072
054050,2002-08-21,4460,4640,4460,4510,130234
054050,2002-08-22,4630,4630,4480,4540,201804
054050,2002-08-23,4550,4620,4470,4510,159374
054050,2002-08-26,4390,4550,4390,4530,83461
054050,2002-08-27,4560,4850,4530,4850,363215
054050,2002-08-28,4850,5050,4310,4530,699741
054050,2002-08-29,4560,5070,4530,5070,582110
054050,2002-08-30,5160,5340,4890,4950,959743
054050,2002-09-02,5050,5370,5050,5200,637462
054050,2002-09-03,5400,5400,4950,4950,251361
054050,2002-09-04,4660,4860,4660,4800,329084
054050,2002-09-05,4870,4920,4760,4800,168071
054050,2002-09-06,4710,5190,4710,5010,610924
