Symbol,Date,Open,High,Low,Close,Volume
308100,2019-06-10,17000,21250,17000,19250,12356757
308100,2019-06-11,19450,19600,17500,17800,2189100
308100,2019-06-12,18750,18750,16850,17100,1460133
308100,2019-06-13,16700,17300,16100,16350,702998
308100,2019-06-14,16350,17050,15150,15250,981031
308100,2019-06-17,15300,15450,14600,14800,513001
308100,2019-06-18,14850,15000,13950,14100,637585
308100,2019-06-19,14400,14650,14000,14150,381172
308100,2019-06-20,14200,14350,14050,14100,337374
308100,2019-06-21,14100,15150,14050,14300,619926
308100,2019-06-24,14500,14500,13300,13350,336095
308100,2019-06-25,13400,13850,12650,12850,311360
308100,2019-06-26,12850,13350,12600,12750,302069
308100,2019-06-27,12850,13050,12150,12350,256325
308100,2019-06-28,12350,12700,12150,12250,295600
308100,2019-07-01,12350,12850,12150,12500,242287
308100,2019-07-02,12600,13350,12450,12750,347195
308100,2019-07-03,13000,13000,12400,12450,114392
308100,2019-07-04,12450,12550,11750,11900,231342
308100,2019-07-05,11900,12000,11700,11800,93595
308100,2019-07-08,11850,12000,11200,11300,137416
308100,2019-07-09,11200,11450,10850,11100,125583
308100,2019-07-10,11250,11400,11000,11250,156403
308100,2019-07-11,11350,14600,11300,13400,4086027
308100,2019-07-12,13400,13650,12800,13450,735818
308100,2019-07-15,13500,14000,13100,13750,923824
308100,2019-07-16,14100,14750,13050,13200,872960
308100,2019-07-17,13300,13300,12150,12400,319253
308100,2019-07-18,12400,12650,11800,11800,251909
308100,2019-07-19,11850,12700,11700,12600,432649
308100,2019-07-22,12750,14450,12650,13850,2129998
308100,2019-07-23,13950,14150,13300,13750,530282
308100,2019-07-24,13850,15200,13700,14350,1629171
308100,2019-07-25,14400,14750,13550,13550,704795
308100,2019-07-26,13350,13800,12600,12750,414774
308100,2019-07-29,13000,14900,12700,14150,1855764
308100,2019-07-30,14450,15450,14150,15400,1544823
308100,2019-07-31,15950,16400,13600,13800,1683252
308100,2019-08-01,13650,14400,13200,13550,458825
308100,2019-08-02,13550,14100,13150,13450,341211
308100,2019-08-05,13700,14500,13600,14450,819932
308100,2019-08-06,14200,14450,12800,13650,669180
308100,2019-08-07,14000,14500,13850,14300,700918
308100,2019-08-08,14500,14650,13500,14050,439776
308100,2019-08-09,14100,14150,13600,13650,221245
308100,2019-08-12,13750,13750,12850,12950,279846
308100,2019-08-13,13050,13350,12000,12100,400946
308100,2019-08-14,12300,12700,12150,12300,238159
308100,2019-08-16,12200,12500,11800,11800,125724
308100,2019-08-19,12000,12350,11800,11900,139817
308100,2019-08-20,12000,12350,11900,12200,92872
