Symbol,Date,Open,High,Low,Close,Volume
171090,2017-09-20,22273,23076,19899,19899,1403208
171090,2017-09-21,20333,21337,19899,20668,400088
171090,2017-09-22,20735,21036,19062,19297,236933
171090,2017-09-25,19297,19497,16889,17090,300161
171090,2017-09-26,17056,17323,16086,16187,211749
171090,2017-09-27,16186,17658,15751,16454,250991
171090,2017-09-28,16521,16721,15751,15886,118701
171090,2017-09-29,15818,16755,15283,15819,243916
171090,2017-10-10,15852,16721,15785,16354,96758
171090,2017-10-11,16353,17390,16153,17190,135309
171090,2017-10-12,17190,17256,16721,16722,62053
171090,2017-10-13,16721,17022,16019,16020,70816
171090,2017-10-16,16153,16688,14782,16220,82830
171090,2017-10-17,16387,16922,16253,16321,44497
171090,2017-10-18,16387,16554,15818,15919,44235
171090,2017-10-19,15919,16922,15919,16521,75576
171090,2017-10-20,16521,16721,15885,15919,106967
171090,2017-10-23,16052,16253,15885,15953,60756
171090,2017-10-24,16119,16420,15885,16220,43077
171090,2017-10-25,17190,18594,16889,18260,502013
171090,2017-10-26,18226,20969,17825,19130,526127
171090,2017-10-27,19497,19598,18226,19230,122690
171090,2017-10-30,19230,19698,18728,19163,95830
171090,2017-10-31,19397,20333,18929,20200,165292
171090,2017-11-01,19932,20735,19631,20334,129184
171090,2017-11-02,20367,20434,19598,19598,99653
171090,2017-11-03,19598,21805,19129,21672,396705
171090,2017-11-06,21738,21972,21136,21170,145431
171090,2017-11-07,21169,21537,20668,20936,67057
171090,2017-11-08,21069,22306,20233,20936,192048
171090,2017-11-09,20969,21504,20701,20802,44888
171090,2017-11-10,20969,21805,20735,21170,89910
171090,2017-11-13,21403,21939,21169,21939,88895
171090,2017-11-14,22106,22273,21470,22006,99793
171090,2017-11-15,21738,21738,20300,20401,163811
171090,2017-11-16,20400,20801,19731,20334,91584
171090,2017-11-17,20266,20601,19999,20300,50961
171090,2017-11-20,20300,20400,19263,20066,94351
171090,2017-11-21,20066,21504,20066,20635,135487
171090,2017-11-22,20868,21036,20333,20635,51757
171090,2017-11-23,20735,21236,20300,20468,85238
171090,2017-11-24,20534,20534,20032,20100,61232
171090,2017-11-27,20099,20601,19598,20100,52561
171090,2017-11-28,20166,20266,19363,19464,49276
171090,2017-11-29,19163,19464,18661,18896,84634
171090,2017-11-30,18795,19297,18527,18561,27778
171090,2017-12-01,18728,19029,17457,17792,73308
171090,2017-12-04,17825,18226,17022,18160,78011
171090,2017-12-05,18360,18561,17725,18260,25778
171090,2017-12-06,18594,18594,17591,17591,23446
171090,2017-12-07,17591,17892,17089,17491,23206
171090,2017-12-08,17390,18327,17123,17391,40161
171090,2017-12-11,17858,18260,17223,17391,31789
171090,2017-12-12,17424,17725,17089,17224,18174
171090,2017-12-13,17056,17424,16588,16588,47527
171090,2017-12-14,16588,16855,16320,16421,57429
171090,2017-12-15,16588,16654,15919,16354,73330
171090,2017-12-18,16353,16554,16086,16153,48401
