Symbol,Date,Open,High,Low,Close,Volume
173940,2014-12-04,12618,14495,12618,13820,3081579
173940,2014-12-05,13369,13694,11967,12418,1067728
173940,2014-12-08,12643,12668,11491,11516,582166
173940,2014-12-09,11491,12417,11316,11491,491889
173940,2014-12-10,11716,11992,11441,11667,265037
173940,2014-12-11,11416,11666,10815,11066,233082
173940,2014-12-12,11065,11140,10389,10415,208309
173940,2014-12-15,10164,10765,9864,10390,183381
173940,2014-12-16,10364,10965,9814,10064,170014
173940,2014-12-17,10089,10515,9964,10415,102314
173940,2014-12-18,10665,11216,10414,10966,242906
173940,2014-12-19,11015,11065,10640,10665,72232
173940,2014-12-22,10815,10840,10414,10565,74392
173940,2014-12-23,10565,11766,10389,11116,380632
173940,2014-12-24,11266,11491,10915,11016,109082
173940,2014-12-26,11165,11516,10740,10991,105818
173940,2014-12-29,10990,11366,10815,11016,94221
173940,2014-12-30,10965,11165,10765,11066,62207
173940,2015-01-02,11316,11616,11140,11341,105427
173940,2015-01-05,11341,11967,11216,11767,160934
173940,2015-01-06,12367,12442,11917,11992,145186
173940,2015-01-07,12117,12342,11766,12192,100742
173940,2015-01-08,12367,12868,12117,12668,183721
173940,2015-01-09,12768,13018,12367,12593,94595
173940,2015-01-12,12593,12893,12342,12468,53185
173940,2015-01-13,12467,12467,11867,12192,120731
173940,2015-01-14,12192,12317,11666,12192,98736
173940,2015-01-15,12217,13669,12042,13419,353300
173940,2015-01-16,13419,14370,13093,14095,295263
173940,2015-01-19,14420,14620,13744,14095,147471
173940,2015-01-20,14420,14470,13619,14270,109463
173940,2015-01-21,14996,14996,14245,14446,166487
173940,2015-01-22,14445,14671,13394,13645,336994
173940,2015-01-23,13869,14971,13444,14396,216096
173940,2015-01-26,14595,14871,13995,14170,77557
173940,2015-01-27,14345,14520,13719,13745,109177
173940,2015-01-28,13619,14270,13469,14195,88269
173940,2015-01-29,14245,14846,13919,14546,133153
173940,2015-01-30,14470,14545,13844,14270,121936
173940,2015-02-02,14721,14721,13869,14145,59305
173940,2015-02-03,14120,14420,13869,14346,48884
173940,2015-02-04,14545,14545,13970,14145,88755
173940,2015-02-05,14295,15021,13794,14996,199123
173940,2015-02-06,15096,15372,14821,15022,112586
173940,2015-02-09,15021,15021,14020,14646,173087
173940,2015-02-10,14771,14896,14245,14521,70149
173940,2015-02-11,14645,14771,14320,14621,45170
