Symbol,Date,Open,High,Low,Close,Volume
097520,2012-07-25,6024,6024,5131,5132,2025167
097520,2012-07-26,4975,5198,4574,4931,1504053
097520,2012-07-27,5020,5332,4841,4887,1523882
097520,2012-07-30,5020,5131,4752,4842,453778
097520,2012-07-31,4930,5131,4908,4976,634920
097520,2012-08-01,4975,5042,4841,4887,256109
097520,2012-08-02,4885,4975,4796,4909,298560
097520,2012-08-03,4841,4886,4551,4574,488777
097520,2012-08-06,4707,4729,4341,4365,499711
097520,2012-08-07,4337,4453,4239,4333,371582
097520,2012-08-08,4363,4461,4310,4311,233254
097520,2012-08-09,4310,4350,4239,4244,288914
097520,2012-08-10,4261,4444,4256,4311,432088
097520,2012-08-13,4256,4297,4150,4150,417883
097520,2012-08-14,4181,4194,4109,4119,209532
097520,2012-08-16,4172,4350,4163,4320,417769
097520,2012-08-17,4346,4390,4234,4315,208326
097520,2012-08-20,4350,4506,4297,4423,334301
097520,2012-08-21,4448,4551,4386,4440,333836
097520,2012-08-22,4457,4551,4350,4463,319106
097520,2012-08-23,4506,4574,4448,4507,274165
097520,2012-08-24,4529,4529,4395,4463,280763
097520,2012-08-27,4484,4506,4328,4355,168369
097520,2012-08-28,4337,4404,4337,4395,127526
097520,2012-08-29,4408,4796,4408,4708,678896
097520,2012-08-30,4730,4841,4640,4797,406094
097520,2012-08-31,4796,5154,4730,5154,765333
097520,2012-09-03,5176,5288,5064,5065,525354
097520,2012-09-04,5131,5399,5042,5109,618705
097520,2012-09-05,5265,5332,5109,5109,373751
097520,2012-09-06,5198,5421,5154,5400,540900
097520,2012-09-07,5465,5510,5288,5422,300340
097520,2012-09-10,5488,5622,5421,5422,282893
097520,2012-09-11,5465,5488,5354,5422,178177
097520,2012-09-12,5488,5533,5198,5266,301988
097520,2012-09-13,5354,5354,5154,5221,289840
097520,2012-09-14,5332,5399,5176,5266,318313
097520,2012-09-17,5332,5332,5042,5221,192706
097520,2012-09-18,5176,5310,5176,5199,167419
097520,2012-09-19,5198,5288,5109,5221,145952
097520,2012-09-20,5243,5800,5198,5690,838076
097520,2012-09-21,5712,5890,5622,5779,399220
097520,2012-09-24,5778,5823,5622,5667,165540
097520,2012-09-25,5667,5800,5421,5422,231158
097520,2012-09-26,5377,5622,5332,5422,161874
097520,2012-09-27,5421,5578,5288,5400,118406
097520,2012-09-28,5444,5466,5265,5266,149479
097520,2012-10-02,5265,5421,5131,5266,185519
097520,2012-10-04,5288,5421,5243,5288,126065
097520,2012-10-05,5354,5555,5332,5489,194264
097520,2012-10-08,5533,5600,5220,5311,242317
097520,2012-10-09,5354,5354,4997,5021,326532
097520,2012-10-10,4998,5644,4953,5467,587264
097520,2012-10-11,5466,5712,5444,5533,484699
097520,2012-10-12,5622,5957,5555,5779,454966
097520,2012-10-15,5912,6224,5734,5913,581330
097520,2012-10-16,5912,6135,5667,6002,322207
097520,2012-10-17,6024,6135,5109,5511,2920210
097520,2012-10-18,5712,5756,5399,5578,540782
097520,2012-10-19,5578,5600,5220,5511,409161
097520,2012-10-22,5354,5622,5354,5556,176695
