Symbol,Date,Open,High,Low,Close,Volume
219750,2015-06-17,2074,2074,2074,2074,0
219750,2015-06-18,2377,2377,2377,2377,0
219750,2015-06-19,2729,2729,2729,2729,100
219750,2015-06-22,3131,3131,3131,3131,0
219750,2015-06-23,3600,3600,3600,3600,0
219750,2015-06-24,4138,4138,4138,4138,0
219750,2015-06-25,4147,4187,4147,4187,320
219750,2015-06-26,4314,4314,4314,4314,0
219750,2015-06-29,4784,4784,4784,4784,0
219750,2015-06-30,4784,4784,4784,4784,0
219750,2015-07-01,4891,4891,4891,4891,0
219750,2015-07-02,5400,5400,5400,5400,0
219750,2015-07-03,5537,5537,5537,5537,0
219750,2015-07-06,5772,5772,5772,5772,0
219750,2015-07-07,5772,5772,5772,5772,100
219750,2015-07-08,5772,5772,5772,5772,0
219750,2015-07-09,5772,5772,5772,5772,0
219750,2015-07-10,5742,5742,5723,5723,3000
219750,2015-07-13,5723,5723,5723,5723,0
219750,2015-07-14,5723,5723,5723,5723,0
219750,2015-07-15,5723,5723,5723,5723,0
219750,2015-07-16,5713,5713,5713,5713,0
219750,2015-07-17,5713,5713,5713,5713,0
219750,2015-07-20,5713,5713,5713,5713,0
219750,2015-07-21,5713,5713,5713,5713,0
219750,2015-07-22,5713,5713,5713,5713,0
219750,2015-07-23,5713,5713,5713,5713,0
219750,2015-07-24,4862,4862,4862,4862,100
219750,2015-07-27,4862,4862,4862,4862,0
219750,2015-07-28,4891,4891,4891,4891,5050
219750,2015-07-29,4891,4891,4891,4891,5080
219750,2015-07-30,4696,4696,4696,4696,50
219750,2015-07-31,4451,4696,4451,4696,110
219750,2015-08-03,4461,4461,4461,4461,90
219750,2015-08-04,4461,4461,4461,4461,980
219750,2015-08-05,4461,4461,4461,4461,900
219750,2015-08-06,4598,4598,4598,4598,0
219750,2015-08-07,4598,4598,4598,4598,0
219750,2015-08-10,4598,4598,4598,4598,0
219750,2015-08-11,4598,4598,4598,4598,0
219750,2015-08-12,4598,4598,4598,4598,0
219750,2015-08-13,4598,4598,4598,4598,0
219750,2015-08-17,4598,4598,4598,4598,0
219750,2015-08-18,4598,4598,4598,4598,0
219750,2015-08-19,4598,4598,4598,4598,0
219750,2015-08-20,4598,4598,4598,4598,0
219750,2015-08-21,4598,4598,4598,4598,1020
219750,2015-08-24,4598,4598,4598,4598,0
219750,2015-08-25,4598,4598,4598,4598,0
219750,2015-08-26,4598,4598,4598,4598,31290
219750,2015-08-27,4598,4598,4598,4598,0
219750,2015-08-28,4598,4598,4598,4598,0
219750,2015-08-31,4598,4598,4598,4598,31000
219750,2015-09-01,4598,4598,4598,4598,0
219750,2015-09-02,4891,4891,4891,4891,10
219750,2015-09-03,4891,4891,4891,4891,0
219750,2015-09-04,5087,5087,5087,5087,0
219750,2015-09-07,5087,5087,5087,5087,0
219750,2015-09-08,5381,5381,5381,5381,100
219750,2015-09-09,4578,5673,4578,5478,260
219750,2015-09-10,5204,5478,5204,5478,105
219750,2015-09-11,5204,5478,5204,5478,105
219750,2015-09-14,5204,5478,5204,5478,105
219750,2015-09-15,5204,5478,5204,5478,105
219750,2015-09-16,5459,5459,5459,5459,5
219750,2015-09-17,5184,5674,5184,5674,725
219750,2015-09-18,5674,5674,5674,5674,0
219750,2015-09-21,5674,5674,5674,5674,0
219750,2015-09-22,5674,5674,5674,5674,0
219750,2015-09-23,5674,5674,5674,5674,0
219750,2015-09-24,5674,5674,5674,5674,0
219750,2015-09-25,5870,5870,5870,5870,10
219750,2015-09-30,5566,5870,5478,5870,135
219750,2015-10-01,5870,5870,5870,5870,0
219750,2015-10-02,5928,5928,5928,5928,5
219750,2015-10-05,5928,5928,5928,5928,0
219750,2015-10-06,5928,5928,5928,5928,0
219750,2015-10-07,5928,5928,5928,5928,0
219750,2015-10-08,6035,6035,6035,6036,5
219750,2015-10-12,5713,6035,5713,6036,81
219750,2015-10-13,5713,6035,5713,6036,73
219750,2015-10-14,6035,6035,6035,6036,0
219750,2015-10-15,6026,6026,6026,6026,1
219750,2015-10-16,6026,6026,6026,6026,1
219750,2015-10-19,6065,6065,6065,6065,1
219750,2015-10-20,6046,6046,6007,6007,101
219750,2015-10-21,6065,6065,6065,6065,1
219750,2015-10-22,6065,6065,6065,6065,1
219750,2015-10-23,6065,6065,6065,6065,1
219750,2015-10-26,6065,6065,6065,6065,1
219750,2015-10-27,6094,6094,6065,6065,51
219750,2015-10-28,6065,6065,5155,5870,533
219750,2015-10-29,5869,5869,4989,4989,8
219750,2015-10-30,4891,4891,4245,4696,73
219750,2015-11-02,4696,4715,4206,4696,3213
219750,2015-11-03,4696,4696,4011,4109,4795
219750,2015-11-04,4109,4109,4109,4109,443
219750,2015-11-05,4207,4207,4207,4207,0
219750,2015-11-06,4207,4207,4207,4207,0
219750,2015-11-09,4207,4207,4207,4207,0
219750,2015-11-10,4207,4207,4207,4207,0
219750,2015-11-11,4696,4696,4696,4696,2
219750,2015-11-12,4696,4696,4696,4696,0
219750,2015-11-13,4696,4696,4696,4696,0
219750,2015-11-16,4793,4793,4793,4793,0
219750,2015-11-17,4793,4793,4793,4793,0
219750,2015-11-18,4891,4891,4891,4891,0
219750,2015-11-19,4891,4891,4891,4891,0
219750,2015-11-20,5185,5185,5185,5185,0
219750,2015-11-23,5185,5185,5185,5185,100
219750,2015-11-24,5165,5165,5146,5146,500
219750,2015-11-25,5125,5165,5106,5165,601
219750,2015-11-26,5156,5165,5156,5156,600
219750,2015-11-27,5185,5185,5185,5185,1
219750,2015-11-30,5282,5282,5126,5283,402
219750,2015-12-01,5204,5204,5204,5204,0
219750,2015-12-02,5185,5185,5185,5185,100
219750,2015-12-03,5478,5478,5478,5478,1
219750,2015-12-04,5282,5282,5282,5283,483
219750,2015-12-07,5282,5282,5282,5283,0
219750,2015-12-08,5282,5282,5282,5283,0
219750,2015-12-09,5185,5185,5185,5185,0
219750,2015-12-10,5185,5185,5185,5185,0
219750,2015-12-11,5185,5185,5185,5185,0
219750,2015-12-14,5185,5185,5185,5185,0
219750,2015-12-15,5185,5185,5185,5185,0
219750,2015-12-16,5185,5185,5185,5185,1
219750,2015-12-17,5185,5185,5185,5185,0
219750,2015-12-18,5185,5185,5185,5185,0
219750,2015-12-21,5185,5185,5185,5185,1
219750,2015-12-22,5185,5185,5185,5185,0
219750,2015-12-23,5185,5185,5185,5185,0
219750,2015-12-24,5185,5185,5185,5185,0
219750,2015-12-28,5282,5282,5282,5283,1
219750,2015-12-29,5282,5282,5282,5283,0
219750,2015-12-30,5282,5282,5282,5283,1
219750,2016-01-04,5273,5273,5273,5273,0
219750,2016-01-05,5273,5273,5273,5273,0
219750,2016-01-06,5273,5273,5273,5273,0
219750,2016-01-07,5273,5273,5273,5273,0
219750,2016-01-08,5273,5273,5273,5273,0
219750,2016-01-11,5273,5273,5273,5273,0
219750,2016-01-12,5273,5273,5273,5273,0
219750,2016-01-13,5185,5185,5185,5185,0
219750,2016-01-14,5185,5185,5185,5185,0
219750,2016-01-15,5185,5185,5185,5185,0
219750,2016-01-18,5185,5185,5185,5185,0
219750,2016-01-19,5185,5185,5185,5185,0
219750,2016-01-20,5185,5185,5185,5185,0
219750,2016-01-21,5185,5185,5185,5185,500
219750,2016-01-22,5185,5185,5185,5185,0
219750,2016-01-25,5185,5185,5185,5185,0
219750,2016-01-26,5185,5185,5185,5185,0
219750,2016-01-27,5185,5185,5185,5185,0
219750,2016-01-28,5185,5185,5185,5185,0
219750,2016-01-29,5185,5185,5185,5185,0
219750,2016-02-01,5185,5185,5185,5185,0
219750,2016-02-02,5185,5185,5185,5185,0
219750,2016-02-03,5185,5185,5185,5185,0
219750,2016-02-04,5185,5185,5185,5185,0
219750,2016-02-05,5185,5185,5185,5185,0
219750,2016-02-11,5185,5185,5185,5185,0
219750,2016-02-12,5185,5185,5185,5185,0
219750,2016-02-15,5185,5185,5185,5185,0
219750,2016-02-16,5185,5185,5185,5185,1
219750,2016-02-17,5185,5185,5185,5185,0
219750,2016-02-18,5185,5185,5185,5185,0
219750,2016-02-19,5185,5185,5185,5185,0
219750,2016-02-22,5185,5185,5185,5185,0
219750,2016-02-23,5185,5185,5185,5185,0
219750,2016-02-24,5185,5185,5185,5185,0
219750,2016-02-25,5185,5185,5185,5185,0
219750,2016-02-26,5185,5185,5185,5185,0
219750,2016-02-29,5185,5185,5185,5185,0
219750,2016-03-02,5185,5185,5185,5185,0
