Symbol,Date,Open,High,Low,Close,Volume
317330,2019-08-02,17100,18500,15550,15600,5988217
317330,2019-08-05,15800,16300,13150,14300,1157763
317330,2019-08-06,13650,15800,12850,14300,1221330
317330,2019-08-07,14950,17800,14600,16450,2540174
317330,2019-08-08,16400,17000,15650,16650,895071
317330,2019-08-09,16950,17650,16300,16950,821493
317330,2019-08-12,17300,18450,17000,17800,1046272
317330,2019-08-13,17700,19600,17150,18200,1765773
317330,2019-08-14,18700,18950,17650,18100,552870
317330,2019-08-16,18300,18450,16850,17150,522835
317330,2019-08-19,17350,17600,16050,16100,242690
317330,2019-08-20,16250,16800,16050,16750,184757
317330,2019-08-21,16600,17400,16550,17200,213664
317330,2019-08-22,17200,17250,16550,16800,121807
317330,2019-08-23,17250,17550,16800,17150,246076
317330,2019-08-26,16650,16800,15550,15850,182354
317330,2019-08-27,16200,16600,15500,15600,160971
317330,2019-08-28,15600,16050,15550,15950,90350
317330,2019-08-29,16550,17350,16450,17000,374748
317330,2019-08-30,17300,17300,16850,17200,102661
317330,2019-09-02,17150,18100,16950,17500,349790
317330,2019-09-03,17650,18000,17200,17400,293742
317330,2019-09-04,17500,17700,17250,17500,136415
317330,2019-09-05,17600,17850,17350,17700,142317
317330,2019-09-06,18050,19400,17750,19100,735448
317330,2019-09-09,19750,21000,19500,20700,1148892
317330,2019-09-10,20500,21050,19400,19700,536812
317330,2019-09-11,19800,19850,19000,19650,302115
317330,2019-09-16,19650,19700,18700,19150,231247
317330,2019-09-17,19050,19400,18750,19250,144417
317330,2019-09-18,19250,21250,18800,21250,479374
317330,2019-09-19,21400,21850,20600,20950,325824
317330,2019-09-20,20950,22500,20400,21950,466477
317330,2019-09-23,21700,22700,21400,21500,248131
317330,2019-09-24,21800,22550,21400,21650,232364
317330,2019-09-25,21600,21600,20900,21000,215047
317330,2019-09-26,21350,21550,20850,21250,129685
317330,2019-09-27,21200,21200,20750,20850,91241
317330,2019-09-30,20400,21100,19950,20900,156525
317330,2019-10-01,20850,21500,20550,20700,117010
317330,2019-10-02,20500,20950,19950,20050,123910
317330,2019-10-04,19800,20400,19350,19800,131555
317330,2019-10-07,20100,20800,19650,20200,190319
317330,2019-10-08,20050,21300,20050,21200,205837
317330,2019-10-10,20850,21200,20300,20600,211705
317330,2019-10-11,20900,20900,19100,19350,277715
317330,2019-10-14,19500,19850,19200,19750,172763
