Symbol,Date,Open,High,Low,Close,Volume
185750,2013-12-06,66227,68711,56459,59606,993995
185750,2013-12-09,58942,62586,57535,60351,378254
185750,2013-12-10,61012,61095,58362,58365,162949
185750,2013-12-11,58694,59191,57866,57869,115771
185750,2013-12-12,57370,57535,54555,55467,203793
185750,2013-12-13,55383,58446,54803,57785,107083
185750,2013-12-16,57535,59025,57039,58116,83740
185750,2013-12-17,58529,59274,56211,56211,107450
185750,2013-12-18,56376,56707,52817,53232,230583
185750,2013-12-19,54224,55548,53645,55135,120918
185750,2013-12-20,55051,55383,54141,55135,49562
185750,2013-12-23,55135,56459,55135,55135,64483
185750,2013-12-24,55383,57535,54057,57205,60467
185750,2013-12-26,56707,57286,55715,55715,71639
185750,2013-12-27,55715,57452,54637,57289,65997
185750,2013-12-30,57286,57452,55631,56461,42733
185750,2014-01-02,56211,56459,55300,56295,47055
185750,2014-01-03,55548,58362,54637,57454,85681
185750,2014-01-06,57452,57535,56376,57205,49181
185750,2014-01-07,57286,60599,56459,59689,111488
185750,2014-01-08,60351,61591,60020,61179,92237
185750,2014-01-09,60432,61178,59521,60516,52734
185750,2014-01-10,60681,61426,59605,61262,104236
185750,2014-01-13,60764,62586,60764,60848,58929
185750,2014-01-14,60847,62668,59521,61841,74932
185750,2014-01-15,62420,62586,61095,61179,60515
185750,2014-01-16,61675,61675,60351,60435,48876
185750,2014-01-17,60101,60930,59274,59440,38213
185750,2014-01-20,59440,60847,58777,59689,56582
185750,2014-01-21,59687,60267,58446,60104,74127
185750,2014-01-22,59605,60020,59025,59855,78368
185750,2014-01-23,59853,59853,58281,58365,112993
185750,2014-01-24,58197,59274,57866,59275,63594
185750,2014-01-27,58197,59687,57866,59275,49936
185750,2014-01-28,58612,59274,56873,56874,126367
185750,2014-01-29,56955,57784,56211,57454,107956
185750,2014-02-03,57618,57950,56873,57950,41985
185750,2014-02-04,57204,57618,55383,57123,83690
185750,2014-02-05,57204,58446,57204,57950,63117
185750,2014-02-06,57950,58281,57286,58116,36598
185750,2014-02-07,58777,61344,58529,61262,131602
185750,2014-02-10,61178,62502,60432,60600,96469
185750,2014-02-11,60764,61178,60019,60600,63865
185750,2014-02-12,61012,61012,59191,59192,81277
185750,2014-02-13,59025,59936,57784,58447,56881
185750,2014-02-14,58446,59274,57204,57950,81969
185750,2014-02-17,58529,59936,58197,59771,73856
185750,2014-02-18,59771,62254,59687,62255,148067
185750,2014-02-19,62586,62917,61675,61676,76548
185750,2014-02-20,61426,62502,61012,61179,48533
185750,2014-02-21,61591,61757,59936,61014,52674
185750,2014-02-24,60681,61012,60101,60683,46198
185750,2014-02-25,60847,62006,60351,61676,51893
185750,2014-02-26,61675,62006,60764,61428,55782
185750,2014-02-27,61426,62254,61012,62007,58860
185750,2014-02-28,62006,62999,61426,61676,122695
185750,2014-03-03,61757,63413,60598,61594,106505
185750,2014-03-04,61509,62586,60930,61179,66674
185750,2014-03-05,61591,62586,60847,62504,82553
185750,2014-03-06,62502,63992,62171,63249,79533
185750,2014-03-07,63661,63745,62502,62752,71098
185750,2014-03-10,63745,63910,62586,62752,72977
185750,2014-03-11,62751,64406,61922,64242,81031
185750,2014-03-12,63992,64157,61757,62173,92023
185750,2014-03-13,62337,65069,62337,65071,119755
185750,2014-03-14,64406,65815,64076,64242,83057
185750,2014-03-17,64737,65815,64655,65567,62574
185750,2014-03-18,65648,66394,65152,65402,78464
185750,2014-03-19,65483,66227,64489,65402,30152
185750,2014-03-20,65317,65483,64572,65153,27972
185750,2014-03-21,65731,65896,64489,64739,43205
185750,2014-03-24,64406,64572,62668,62670,80613
185750,2014-03-25,62088,63496,61343,63414,55260
185750,2014-03-26,63330,63745,62668,62835,34639
185750,2014-03-27,62917,64324,62254,64077,27852
185750,2014-03-28,64655,65483,64076,65236,62113
185750,2014-03-31,64903,65235,63579,65236,55687
185750,2014-04-01,65152,65235,64157,64656,34576
185750,2014-04-02,64655,64903,63826,64160,33132
185750,2014-04-03,64489,64572,62751,62918,47398
185750,2014-04-04,62999,63247,62089,62670,26909
185750,2014-04-07,62502,62999,61344,61676,26879
185750,2014-04-08,61426,62254,60432,62090,28454
185750,2014-04-09,62254,62668,60930,61510,30739
185750,2014-04-10,62420,62502,61178,61345,31567
185750,2014-04-11,61344,61675,59771,61096,51521
185750,2014-04-14,61012,61675,60599,60600,20261
185750,2014-04-15,60764,61509,60599,61428,19317
185750,2014-04-16,61426,61591,60681,60766,21489
185750,2014-04-17,60930,61178,59356,59358,44759
185750,2014-04-18,59191,60847,59025,60848,37467
185750,2014-04-21,61095,61509,60185,61510,15625
185750,2014-04-22,61426,61922,61178,61925,26875
185750,2014-04-23,61591,61675,60101,60186,39281
185750,2014-04-24,60185,60681,59191,59358,28561
185750,2014-04-25,59687,59771,58115,58447,36367
185750,2014-04-28,58032,59440,58032,59192,25628
185750,2014-04-29,59440,59853,58860,59606,17451
185750,2014-04-30,59605,61260,59605,60766,33949
185750,2014-05-02,61012,61757,60516,61262,36128
185750,2014-05-07,61757,61757,59687,60186,33316
185750,2014-05-08,60185,60267,58529,58861,52939
185750,2014-05-09,58529,59356,58362,58861,21469
185750,2014-05-12,58281,59521,57370,59192,45356
185750,2014-05-13,58612,60351,58115,59937,36490
185750,2014-05-14,59936,59936,59025,59027,25169
185750,2014-05-15,59108,59687,58529,58696,28882
185750,2014-05-16,58694,58777,57701,58116,53877
185750,2014-05-19,58115,58197,57370,57702,25877
185750,2014-05-20,57950,58942,57535,58696,31371
185750,2014-05-21,58777,58777,57950,58613,33105
185750,2014-05-22,58612,59025,57784,58613,34096
185750,2014-05-23,58197,58777,58032,58613,30449
185750,2014-05-26,58529,58694,57286,57454,52982
185750,2014-05-27,57452,57452,55383,55550,75028
185750,2014-05-28,54803,57121,54803,56709,39277
185750,2014-05-29,56955,56955,55880,56709,31093
185750,2014-05-30,56955,57950,56211,57950,41031
185750,2014-06-02,57866,58197,56294,57454,23238
185750,2014-06-03,57452,57452,55217,55633,54796
185750,2014-06-05,55135,56211,53479,56211,53035
185750,2014-06-09,56376,56542,54886,56046,32812
185750,2014-06-10,56459,58942,55796,58696,44520
185750,2014-06-11,58694,59605,58362,59524,53368
185750,2014-06-12,59108,60432,59108,60351,45929
185750,2014-06-13,59771,61178,59356,60848,35720
185750,2014-06-16,60516,61344,60185,61179,30727
185750,2014-06-17,60847,60930,58362,58365,59318
185750,2014-06-18,58446,59274,57452,58199,45403
185750,2014-06-19,58612,59274,58032,59275,44119
185750,2014-06-20,59274,59687,58115,58696,43193
