Symbol,Date,Open,High,Low,Close,Volume
189860,2014-12-24,4000,4600,4000,4600,1085285
189860,2014-12-26,5275,5275,4165,4325,2570649
189860,2014-12-29,4400,4545,4165,4175,359683
189860,2014-12-30,4220,4370,4165,4250,247789
189860,2015-01-02,4320,4470,4250,4265,159694
189860,2015-01-05,4300,4300,3925,4105,174324
189860,2015-01-06,4090,4135,3940,4135,81153
189860,2015-01-07,4135,4300,4060,4165,99286
189860,2015-01-08,4245,4500,4245,4325,179612
189860,2015-01-09,4335,4370,4220,4265,73890
189860,2015-01-12,4240,4355,4220,4270,64695
189860,2015-01-13,4280,4285,4225,4240,35191
189860,2015-01-14,4225,4300,4020,4200,44641
189860,2015-01-15,4240,4240,4145,4180,18110
189860,2015-01-16,4180,4205,4145,4200,15581
189860,2015-01-19,4215,4230,4080,4230,78631
189860,2015-01-20,4265,4780,4230,4620,291968
189860,2015-01-21,4605,5300,4550,5300,401775
189860,2015-01-22,5450,5800,5050,5275,499213
189860,2015-01-23,5275,5950,5175,5650,576683
189860,2015-01-26,5600,5650,5275,5375,158005
189860,2015-01-27,5450,5500,4990,5000,281584
189860,2015-01-28,4975,5100,4885,5075,110261
189860,2015-01-29,5100,5375,4990,5200,250477
189860,2015-01-30,5250,5325,4995,5050,124889
189860,2015-02-02,5050,5075,4855,4865,64418
189860,2015-02-03,4880,5125,4865,5050,53352
189860,2015-02-04,5125,5250,4950,4995,108537
189860,2015-02-05,5075,5100,4940,5100,69306
189860,2015-02-06,5150,5150,4910,4925,496456
189860,2015-02-09,5050,5350,4960,5150,839766
189860,2015-02-10,5025,5050,4610,4750,426671
189860,2015-02-11,4755,4865,4590,4755,141055
189860,2015-02-12,4750,4825,4575,4625,103315
189860,2015-02-13,4825,4900,4725,4805,105645
189860,2015-02-16,4895,5525,4815,5450,549887
189860,2015-02-17,5400,5475,5200,5350,166951
189860,2015-02-23,5300,5375,5125,5375,138510
189860,2015-02-24,5400,5525,5275,5400,180317
189860,2015-02-25,5350,5400,5150,5175,105617
189860,2015-02-26,5200,5225,5100,5150,76099
189860,2015-02-27,5250,5350,5000,5100,178892
189860,2015-03-02,5100,5250,5000,5000,77687
189860,2015-03-03,5025,5250,4975,5225,142750
189860,2015-03-04,5250,5300,5150,5250,54504
189860,2015-03-05,5300,5700,5200,5650,425435
189860,2015-03-06,5575,5850,5500,5850,264061
189860,2015-03-09,5875,6075,5500,5625,284695
189860,2015-03-10,5700,5725,5300,5650,145255
189860,2015-03-11,5550,5825,5525,5725,118102
189860,2015-03-12,5775,6300,5700,6300,350608
189860,2015-03-13,6275,6475,6050,6400,210392
189860,2015-03-16,6374,6374,6200,6350,74434
189860,2015-03-17,6749,7250,6650,7075,682403
189860,2015-03-18,7100,7974,7050,7350,687859
189860,2015-03-19,7475,7950,7125,7500,346043
189860,2015-03-20,7500,7750,7150,7600,201373
189860,2015-03-23,7725,8375,7700,7900,457759
189860,2015-03-24,7750,7850,7474,7550,179213
189860,2015-03-25,7500,7675,7350,7425,125597
189860,2015-03-26,7400,7700,7375,7700,85499
189860,2015-03-27,7725,8100,7475,7525,145671
189860,2015-03-30,7500,7675,7350,7500,83960
189860,2015-03-31,7575,7650,7300,7450,73628
189860,2015-04-01,7375,7500,7124,7250,107047
189860,2015-04-02,7325,7400,7025,7125,120605
189860,2015-04-03,7125,7874,7100,7750,216436
189860,2015-04-06,7849,8125,7775,7925,153510
189860,2015-04-07,8350,8350,7925,8000,135270
189860,2015-04-08,8000,8124,7850,8050,66327
189860,2015-04-09,8050,8225,7749,7975,73801
189860,2015-04-10,8025,8050,7774,7950,56158
189860,2015-04-13,7975,8000,7400,7700,93833
189860,2015-04-14,7700,7700,7200,7425,103052
189860,2015-04-15,7350,7550,7325,7525,47488
189860,2015-04-16,7725,8025,7700,7900,137993
189860,2015-04-17,7925,8050,7700,8000,84628
189860,2015-04-20,8000,8550,7950,8275,158856
189860,2015-04-21,8250,8250,8025,8075,80546
189860,2015-04-22,8125,8250,7400,7800,151841
189860,2015-04-23,7800,7825,7400,7825,121579
189860,2015-04-24,7750,7924,7575,7850,46775
189860,2015-04-27,7950,8349,7950,8150,111150
189860,2015-04-28,8150,8775,8025,8650,156798
