Symbol,Date,Open,High,Low,Close,Volume
166480,2015-06-26,32000,41600,32000,41600,699441
166480,2015-06-29,41650,44050,35300,35850,6468946
166480,2015-06-30,37550,42500,35400,42500,3116613
166480,2015-07-01,43800,44450,40300,40900,2056232
166480,2015-07-02,41600,42500,39950,40650,1109247
166480,2015-07-03,41150,42850,40700,41500,1096454
166480,2015-07-06,41950,45950,41700,45400,2595964
166480,2015-07-07,46450,48500,37000,39500,2911880
166480,2015-07-08,40050,40100,36050,39350,1075409
166480,2015-07-09,38150,40800,37650,39750,802159
166480,2015-07-10,40550,42850,38900,39050,947206
166480,2015-07-13,38500,38550,36300,37400,805362
166480,2015-07-14,37400,37650,35700,35800,861728
166480,2015-07-15,35800,36650,33800,34250,902302
166480,2015-07-16,34250,37450,33850,35200,1326637
166480,2015-07-17,35100,35100,32150,33000,803966
166480,2015-07-20,33850,35900,33200,35900,691921
166480,2015-07-21,35500,36900,35200,36400,535739
166480,2015-07-22,36250,37500,33900,35100,535623
166480,2015-07-23,35850,35850,34000,35200,249888
166480,2015-07-24,35200,37550,35000,36300,672556
166480,2015-07-27,35500,35850,33450,33450,398496
166480,2015-07-28,32400,33450,30200,31550,391103
166480,2015-07-29,32150,32250,26950,27900,505042
166480,2015-07-30,27900,29000,23550,23600,948593
166480,2015-07-31,23350,25800,22850,25250,751101
166480,2015-08-03,24600,25500,23600,24000,207974
166480,2015-08-04,23600,26100,23500,25900,290586
166480,2015-08-05,26100,28450,25450,26800,516269
166480,2015-08-06,27100,27850,26150,26850,235764
166480,2015-08-07,26350,31650,25700,27600,1060616
166480,2015-08-10,28000,29700,27300,28300,367433
166480,2015-08-11,28950,28950,26600,26800,194928
166480,2015-08-12,26150,26650,23450,25500,282144
166480,2015-08-13,25200,26000,24600,25600,179328
166480,2015-08-17,25650,28200,24750,26600,267137
166480,2015-08-18,27200,28000,26400,26750,371617
166480,2015-08-19,25850,26300,23250,24000,263139
166480,2015-08-20,23300,24450,22700,22700,220919
166480,2015-08-21,20400,21200,19500,20000,394775
166480,2015-08-24,19900,20550,18600,18900,340429
166480,2015-08-25,19550,24250,18550,23550,594507
166480,2015-08-26,22900,26000,22800,23900,499641
166480,2015-08-27,24400,25050,23000,24050,266010
166480,2015-08-28,24650,26250,24400,24500,345402
166480,2015-08-31,24600,24600,23500,24100,130777
166480,2015-09-01,23800,25300,23800,24250,167988
166480,2015-09-02,23500,24800,23200,24050,134858
166480,2015-09-03,24600,25700,24350,24900,243157
166480,2015-09-04,25200,25300,22700,22950,211122
166480,2015-09-07,22600,22850,21000,21800,154286
166480,2015-09-08,21850,22300,19800,20600,218204
166480,2015-09-09,21250,22100,20900,21600,227367
166480,2015-09-10,21300,22300,20950,22200,139712
166480,2015-09-11,21950,22750,21700,21950,111002
166480,2015-09-14,22100,22600,21500,21600,107602
166480,2015-09-15,21600,21900,21200,21400,75232
166480,2015-09-16,21800,22350,21600,22000,117789
166480,2015-09-17,22300,22850,21900,22300,183747
166480,2015-09-18,22700,23750,22400,23450,318143
166480,2015-09-21,23400,23450,22650,22650,128005
166480,2015-09-22,22950,23700,22450,23700,162108
166480,2015-09-23,23400,24750,23150,23600,358424
166480,2015-09-24,23600,23900,22550,22600,173806
166480,2015-09-25,22650,22650,21650,22000,112482
166480,2015-09-30,19950,20400,19800,20050,551898
166480,2015-10-01,20500,20850,20200,20650,252471
166480,2015-10-02,20650,20650,20250,20250,101881
166480,2015-10-05,20750,21750,20600,20650,323416
166480,2015-10-06,21100,21300,20500,20950,181354
166480,2015-10-07,21000,21200,20100,20200,233463
166480,2015-10-08,20300,20700,20000,20050,198367
166480,2015-10-12,20500,20600,20150,20400,156847
166480,2015-10-13,20400,20600,20100,20250,105811
166480,2015-10-14,20100,20300,19950,19950,133769
166480,2015-10-15,20050,20350,19950,20100,87512
166480,2015-10-16,20400,21750,20300,21050,379880
166480,2015-10-19,21350,21350,20500,20500,167041
166480,2015-10-20,20800,21200,20150,21100,222243
