Symbol,Date,Open,High,Low,Close,Volume
019680,2004-02-03,4200,4350,3955,4020,209707
019680,2004-02-04,3955,4245,3955,4110,178537
019680,2004-02-05,4140,4185,4040,4150,86847
019680,2004-02-06,4150,4340,4110,4290,102666
019680,2004-02-09,4260,4550,4230,4510,111320
019680,2004-02-10,4550,4940,4460,4700,184764
019680,2004-02-11,4700,4885,4700,4800,105865
019680,2004-02-12,4820,4835,4600,4780,225507
019680,2004-02-13,4690,4780,4660,4720,55120
019680,2004-02-16,4660,4680,4600,4630,146236
019680,2004-02-17,4630,4660,4475,4500,53379
019680,2004-02-18,4500,4550,4280,4495,86552
019680,2004-02-19,4410,4575,4390,4500,51140
019680,2004-02-20,4500,4680,4480,4565,43410
019680,2004-02-23,4550,4550,4480,4525,36180
019680,2004-02-24,4485,4550,4420,4520,64186
019680,2004-02-25,4450,4520,4450,4490,50378
019680,2004-02-26,4465,4510,4450,4450,8160
019680,2004-02-27,4520,4600,4450,4500,22195
019680,2004-03-02,4585,4730,4535,4730,68915
019680,2004-03-03,4710,4745,4665,4665,30646
019680,2004-03-04,4630,4690,4620,4650,33445
019680,2004-03-05,4650,4740,4595,4680,19080
019680,2004-03-08,4700,4790,4650,4780,53840
019680,2004-03-09,4760,4950,4750,4915,74000
019680,2004-03-10,4915,5040,4880,4960,87940
019680,2004-03-11,4900,4960,4860,4940,15360
019680,2004-03-12,4870,4870,4470,4660,36154
019680,2004-03-15,4660,5050,4660,5000,76600
019680,2004-03-16,4900,5030,4870,5010,92209
019680,2004-03-17,5020,5220,5020,5050,55713
019680,2004-03-18,5010,5140,4990,5100,117760
019680,2004-03-19,5110,5110,5030,5080,32020
019680,2004-03-22,4960,5020,4900,4950,10260
019680,2004-03-23,4890,5000,4880,5000,15453
019680,2004-03-24,5050,5100,4995,5000,53043
019680,2004-03-25,5030,5090,4955,5040,22654
019680,2004-03-26,5000,5090,5000,5000,25285
019680,2004-03-29,5010,5070,4990,5000,46440
019680,2004-03-30,5010,5050,4985,5000,44721
019680,2004-03-31,5050,5050,4995,5030,73007
019680,2004-04-01,5050,5120,5010,5080,30170
019680,2004-04-02,5080,5250,5080,5160,150930
019680,2004-04-06,5190,5430,5160,5210,85855
019680,2004-04-07,5200,5300,5200,5270,51655
019680,2004-04-08,5250,5300,5220,5280,17917
019680,2004-04-09,5250,5360,5250,5260,10920
019680,2004-04-12,5250,5330,5250,5300,57876
019680,2004-04-13,5320,5430,5280,5420,51524
019680,2004-04-14,5340,5500,5340,5400,23533
019680,2004-04-16,5460,5460,5360,5400,27089
019680,2004-04-19,5330,5470,5330,5450,14890
019680,2004-04-20,5450,5750,5430,5750,48735
019680,2004-04-21,5660,5850,5540,5700,27857
019680,2004-04-22,5630,5700,5500,5500,11385
019680,2004-04-23,5590,5590,5410,5450,46569
019680,2004-04-26,5410,5540,5400,5450,20346
019680,2004-04-27,5410,5620,5410,5620,122270
019680,2004-04-28,5670,5800,5490,5500,21229
019680,2004-04-29,5440,5530,5430,5450,102110
019680,2004-04-30,5380,5560,5250,5450,39110
019680,2004-05-03,5380,5430,5360,5360,9390
019680,2004-05-04,5430,5550,5420,5480,28470
019680,2004-05-06,5560,5800,5560,5700,99753
019680,2004-05-07,5710,6100,5680,5990,89809
019680,2004-05-10,6080,6170,5900,6000,122501
019680,2004-05-11,6010,6130,5870,6130,158346
019680,2004-05-12,6130,6560,6130,6520,90980
019680,2004-05-13,6550,7000,6430,6800,107848
019680,2004-05-14,6730,6850,6190,6650,35700
019680,2004-05-17,6500,6500,5910,6000,69770
019680,2004-05-18,5840,6250,5800,6200,40399
019680,2004-05-19,6250,6380,6250,6300,38930
019680,2004-05-20,6340,6610,6280,6400,56083
019680,2004-05-21,6460,6650,6450,6640,25080
019680,2004-05-24,6610,6830,6610,6720,148035
019680,2004-05-25,6850,6850,6570,6570,32830
019680,2004-05-27,6680,6700,6330,6490,32390
019680,2004-05-28,6490,6490,6220,6240,40358
019680,2004-05-31,6190,6200,5880,6200,56740
019680,2004-06-01,6230,6260,6030,6030,24220
019680,2004-06-02,6030,6100,5880,5950,69010
019680,2004-06-03,6010,6080,5770,5800,51342
019680,2004-06-04,5780,5780,5590,5640,94276
019680,2004-06-07,5770,5770,5580,5700,53550
019680,2004-06-08,5750,5890,5460,5850,61510
019680,2004-06-09,5850,6030,5730,6000,28334
019680,2004-06-10,5870,6000,5830,5850,13425
019680,2004-06-11,5760,5880,5350,5370,12500
019680,2004-06-14,5300,5390,5200,5250,24312
019680,2004-06-15,5170,5500,5170,5350,20530
019680,2004-06-16,5320,5540,5320,5370,5610
019680,2004-06-17,5330,5630,5330,5630,12370
019680,2004-06-18,5550,5690,5400,5420,6928
019680,2004-06-21,5410,5520,5400,5400,4999
019680,2004-06-22,5470,5650,5400,5510,7740
019680,2004-06-23,5510,5670,5510,5580,3650
019680,2004-06-24,5550,5780,5550,5780,15102
019680,2004-06-25,5680,5900,5680,5900,13230
019680,2004-06-28,5840,5850,5700,5700,3070
019680,2004-06-29,5650,5780,5540,5780,7970
019680,2004-06-30,5710,5850,5710,5830,9400
019680,2004-07-01,5760,5850,5640,5640,1495
019680,2004-07-02,5570,5630,5490,5530,4829
019680,2004-07-05,5400,5590,5400,5430,2641
019680,2004-07-06,5530,5590,5470,5500,2697
019680,2004-07-07,5350,5490,5350,5470,2256
019680,2004-07-08,5500,5520,5460,5500,9311
019680,2004-07-09,5500,5500,5390,5390,3571
019680,2004-07-12,5360,5430,5300,5300,4330
019680,2004-07-13,5350,5350,5300,5310,3730
019680,2004-07-14,5300,5360,5280,5300,7290
019680,2004-07-15,5230,5330,5230,5310,8020
019680,2004-07-16,5300,5360,5300,5300,4202
019680,2004-07-19,5310,5310,5280,5300,1260
019680,2004-07-20,5360,5490,5280,5430,10429
019680,2004-07-21,5410,5500,5400,5450,2080
019680,2004-07-22,5400,5450,5370,5440,1790
019680,2004-07-23,5440,5540,5320,5350,1540
019680,2004-07-26,5350,5420,5300,5300,533
019680,2004-07-27,5320,5320,5200,5230,1687
019680,2004-07-28,5200,5300,5150,5150,3730
019680,2004-07-29,5150,5290,4980,5000,7446
019680,2004-07-30,5010,5220,4900,5200,11750
019680,2004-08-02,5270,5270,5000,5050,6794
019680,2004-08-03,5010,5200,5010,5190,2980
019680,2004-08-04,5190,5200,5040,5200,2770
019680,2004-08-05,5110,5200,5070,5200,2740
019680,2004-08-06,5110,5280,5100,5280,7830
019680,2004-08-09,5220,5500,5220,5490,14700
019680,2004-08-10,5490,5560,5340,5550,3980
019680,2004-08-11,5550,5580,5450,5570,8429
019680,2004-08-12,5480,5600,5260,5450,10020
019680,2004-08-13,5420,5440,5290,5290,20627
019680,2004-08-16,5210,5250,5160,5240,7521
019680,2004-08-17,5210,5210,5170,5170,2370
019680,2004-08-18,5100,5210,5100,5110,2590
019680,2004-08-19,5070,5220,5070,5180,3750
019680,2004-08-20,5120,5170,5120,5130,2014
019680,2004-08-23,5190,5190,5060,5120,8161
019680,2004-08-24,5060,5100,5060,5070,7366
019680,2004-08-25,5150,5150,5040,5060,14319
019680,2004-08-26,5110,5350,5110,5230,26200
019680,2004-08-27,5260,5290,5070,5180,7490
019680,2004-08-30,5170,5190,5120,5150,2930
019680,2004-08-31,5120,5250,5120,5180,5339
019680,2004-09-01,5180,5260,5130,5200,8420
019680,2004-09-02,5300,5320,5200,5250,15010
