Symbol,Date,Open,High,Low,Close,Volume
180640,2013-09-16,10368,11884,10270,11885,4475850
180640,2013-09-17,12226,13547,12031,12667,6025312
180640,2013-09-23,12520,12569,11835,11933,2573895
180640,2013-09-24,12129,12520,11982,12520,1201249
180640,2013-09-25,12520,14378,12226,13890,2703143
180640,2013-09-26,14036,15943,13840,15944,3794032
180640,2013-09-27,16237,17704,16237,17216,5496888
180640,2013-09-30,16824,18046,16433,16629,2193206
180640,2013-10-01,16628,16922,15601,15748,1775734
180640,2013-10-02,15895,16530,15650,15895,1310678
180640,2013-10-04,15650,15699,14232,14232,2154151
180640,2013-10-07,14183,14867,14134,14526,1261962
180640,2013-10-08,14770,14819,14232,14770,632052
180640,2013-10-10,14623,15063,14427,14868,537448
180640,2013-10-11,15161,15259,14476,14623,536308
180640,2013-10-14,14574,14819,13987,14037,452362
180640,2013-10-15,14036,14525,13987,14085,313123
180640,2013-10-16,14085,14427,13547,13939,368673
180640,2013-10-17,13938,14036,13009,13352,643720
180640,2013-10-18,13254,14183,13009,14085,451921
180640,2013-10-21,14183,14525,13889,14330,359018
180640,2013-10-22,14281,14623,14134,14477,240704
180640,2013-10-23,14574,15503,14574,14770,750263
180640,2013-10-24,14965,15112,14525,15064,442142
180640,2013-10-25,15161,15454,14867,15161,658191
180640,2013-10-28,15650,16335,15259,15406,1027387
180640,2013-10-29,15552,15748,15357,15699,317567
180640,2013-10-30,15699,15797,15357,15455,293961
180640,2013-10-31,14770,15014,13743,13743,2269085
180640,2013-11-01,14183,14232,13596,13939,848061
180640,2013-11-04,13938,14183,13694,13841,275067
180640,2013-11-05,13889,13938,13302,13499,375827
180640,2013-11-06,13351,13547,12862,13009,634277
180640,2013-11-07,13107,13205,12618,12716,370911
180640,2013-11-08,12716,12716,12324,12471,288054
180640,2013-11-11,12520,12813,11933,11982,267929
180640,2013-11-12,12129,12618,12031,12129,445066
180640,2013-11-13,12226,12764,12080,12325,660864
180640,2013-11-14,12275,12520,12129,12423,176024
180640,2013-11-15,12422,12813,12178,12325,360394
180640,2013-11-18,12324,12373,11835,11933,353143
180640,2013-11-19,11982,12422,11786,11933,588739
180640,2013-11-20,12031,13205,12031,13058,984662
180640,2013-11-21,12960,13840,12911,13596,1119469
180640,2013-11-22,13840,14036,13645,13841,459858
180640,2013-11-25,13840,14183,13840,14085,274973
180640,2013-11-26,13938,14281,13498,14232,433063
180640,2013-11-27,14232,14378,13743,13939,292103
180640,2013-11-28,13840,14134,13743,13743,255359
180640,2013-11-29,13694,14134,13694,14085,198748
180640,2013-12-02,15259,16139,15014,15993,2217416
180640,2013-12-03,15992,16139,15650,16140,776832
180640,2013-12-04,15846,16628,15846,16140,715194
180640,2013-12-05,16139,16139,15503,15553,441934
180640,2013-12-06,15650,16970,15454,16433,1148247
180640,2013-12-09,16530,16628,16139,16188,378683
180640,2013-12-10,16237,16384,15454,15797,653400
180640,2013-12-11,15797,16579,15650,16335,536809
180640,2013-12-12,16139,16384,15797,15846,379336
