Symbol,Date,Open,High,Low,Close,Volume
053690,2009-06-23,19150,22000,19000,22000,1147880
053690,2009-06-24,25300,25300,19200,19400,3278089
053690,2009-06-25,19500,19900,17600,17850,977450
053690,2009-06-26,18050,20300,17550,17950,1190030
053690,2009-06-29,18300,19700,18200,18650,447906
053690,2009-06-30,19450,21400,19100,20500,1341130
053690,2009-07-01,19900,20400,19150,19550,334287
053690,2009-07-02,19500,19950,18400,18700,250060
053690,2009-07-03,18050,19250,18000,19000,178067
053690,2009-07-06,18800,19000,18050,18100,163092
053690,2009-07-07,18200,18500,17900,18150,125579
053690,2009-07-08,18000,18000,17300,17750,173367
053690,2009-07-09,18050,19050,17750,18200,379459
053690,2009-07-10,18350,18450,17900,18150,122714
053690,2009-07-13,17650,18050,17550,17700,88002
053690,2009-07-14,17750,18000,17250,17550,72319
053690,2009-07-15,17850,18150,17550,17650,63305
053690,2009-07-16,17700,18500,17550,17650,106933
053690,2009-07-17,18000,18100,17500,17700,72113
053690,2009-07-20,17600,17950,17550,17600,76944
053690,2009-07-21,17650,17900,17500,17550,75789
053690,2009-07-22,17600,17750,17100,17150,90213
053690,2009-07-23,17250,17300,16800,17000,67448
053690,2009-07-24,17150,17150,16700,17100,63018
053690,2009-07-27,17500,17800,17300,17500,54681
053690,2009-07-28,17450,17450,17000,17250,34688
053690,2009-07-29,17200,17500,16850,16850,90261
053690,2009-07-30,17700,17900,17000,17150,117277
053690,2009-07-31,17100,17150,16400,16450,125912
053690,2009-08-03,16500,16500,15450,15850,149821
053690,2009-08-04,16100,16100,15500,15850,64032
053690,2009-08-05,15900,16150,15800,15950,77540
053690,2009-08-06,15950,16400,15700,16150,89913
053690,2009-08-07,16200,16650,16050,16350,82407
053690,2009-08-10,16500,16500,16150,16300,65860
053690,2009-08-11,16200,16800,16150,16650,98860
053690,2009-08-12,16750,17550,16500,17350,151643
053690,2009-08-13,17400,17900,17300,17500,102272
053690,2009-08-14,17450,17550,17000,17100,80336
053690,2009-08-17,16900,18550,16700,17250,220856
053690,2009-08-18,17150,17200,16250,16500,131483
053690,2009-08-19,16500,16700,16300,16300,26502
053690,2009-08-20,16250,16600,16000,16400,56402
053690,2009-08-21,16250,16400,15850,15950,69674
053690,2009-08-24,15950,16100,15300,15400,91956
053690,2009-08-25,15600,16000,15450,15450,57398
053690,2009-08-26,15500,15750,15450,15650,25152
053690,2009-08-27,15800,15850,15450,15450,34437
053690,2009-08-28,15600,15600,15200,15400,35441
053690,2009-08-31,15550,15900,15400,15400,39857
053690,2009-09-01,15400,15600,15000,15100,46685
053690,2009-09-02,15200,15550,15000,15000,66840
053690,2009-09-03,15050,15500,14800,14950,106280
053690,2009-09-04,15000,15150,14600,14600,59550
053690,2009-09-07,14700,15100,14500,14650,46380
053690,2009-09-08,14650,14850,14300,14500,85100
053690,2009-09-09,14500,14950,14250,14450,100804
053690,2009-09-10,14400,14700,14350,14500,42520
053690,2009-09-11,14550,14700,14450,14600,45970
053690,2009-09-14,14650,14950,14450,14600,52111
053690,2009-09-15,14650,14700,13900,14150,112380
053690,2009-09-16,14150,14200,13850,13900,79209
053690,2009-09-17,14000,14400,13850,14150,76429
053690,2009-09-18,14250,15800,14100,15350,307949
053690,2009-09-21,15200,15800,14800,15750,152758
053690,2009-09-22,15850,15950,15600,15850,82530
053690,2009-09-23,15900,16500,15700,16500,83061
053690,2009-09-24,16500,17350,16100,16450,156070
053690,2009-09-25,16200,16500,16100,16300,51221
053690,2009-09-28,16550,16550,15500,15750,56510
053690,2009-09-29,16150,16900,15950,16750,92616
053690,2009-09-30,16750,17150,16200,16200,138358
053690,2009-10-01,16200,16850,16200,16750,64267
053690,2009-10-05,16500,16550,15700,15800,50818
053690,2009-10-06,15800,16100,15450,15600,50824
053690,2009-10-07,15800,15850,15250,15250,27688
053690,2009-10-08,15900,16500,15650,16300,95620
053690,2009-10-09,16450,16650,16000,16350,65191
053690,2009-10-12,16500,16500,16000,16500,23715
053690,2009-10-13,16350,16750,16150,16650,33196
053690,2009-10-14,16700,17300,16600,17300,108104
053690,2009-10-15,17400,17800,17050,17700,67701
053690,2009-10-16,17700,17700,17200,17300,76870
